,UniversityNo,Distance,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Lowest,Label
0,10248,1452.0,2356094,2426.0,971.1846661171,2015,81.08,0.2761310452,1,25,670.0,2
1,19248,1452.0,2018172,2380.43,847.8182513242999,2013,47.62,0.1656934307,1,8,656.0,3
2,19248,1452.0,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,1,8,630.0,7
3,10248,1452.0,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,1,40,686.0,1
4,19248,1452.0,2160212,2415.15,894.4421671532001,2014,79.72,0.2662337662,1,7,647.0,12
5,10248,1452.0,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,0,1,622.0,2
6,10248,1452.0,1504645,2210.2841277426,680.7473216291,2010,43.47,0.1547325103,1,43,633.0,2
7,10248,1452.0,1504645,2210.2841277426,680.7473216291,2010,43.47,0.1547325103,1,43,608.0,2
8,10248,1452.0,2160212,2415.15,894.4421671532001,2014,79.72,0.2662337662,0,1,664.0,2
9,10248,1452.0,2018172,2380.43,847.8182513242999,2013,47.62,0.1656934307,0,1,638.0,2
10,10248,1452.0,2160212,2415.15,894.4421671532001,2014,79.72,0.2662337662,1,25,653.0,1
11,10248,1452.0,2018172,2380.43,847.8182513242999,2013,47.62,0.1656934307,1,43,652.0,2
12,10248,1452.0,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,0,1,654.0,5
13,10248,1452.0,2356094,2426.0,971.1846661171,2015,81.08,0.2761310452,0,1,654.0,1
14,10248,1452.0,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,1,40,634.0,1
15,10271,1466.0,1504645,2210.2841277426,680.7473216291,2010,2.94,0.032263374500000004,1,8,584.0,10
16,10271,1466.0,2018172,2380.43,847.8182513242999,2013,2.53,0.0279805353,0,4,625.0,12
17,10271,1466.0,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,1,9,663.0,12
18,10271,1466.0,2160212,2415.15,894.4421671532001,2014,61.04,0.0,1,16,630.0,30
19,10271,1466.0,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,0,5,626.0,9
20,10271,1466.0,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,1,10,597.0,11
21,10271,1466.0,1504645,2210.2841277426,680.7473216291,2010,2.94,0.032263374500000004,0,8,523.0,6
22,10271,1466.0,2356094,2426.0,971.1846661171,2015,62.44,0.0,1,10,562.0,16
23,10271,1466.0,2356094,2426.0,971.1846661171,2015,62.44,0.0,0,6,626.0,11
24,10271,1466.0,2018172,2380.43,847.8182513242999,2013,2.53,0.0279805353,1,8,630.0,10
25,10271,1466.0,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,0,9,637.0,8
26,10271,1466.0,2160212,2415.15,894.4421671532001,2014,61.04,0.0,0,8,618.0,8
27,10280,1473.0,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,1,22,579.0,19
28,10280,1473.0,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,1,22,416.0,19
29,10280,1473.0,1504645,2210.2841277426,680.7473216291,2010,7.78,0.0596707819,1,25,544.0,20
30,10280,1473.0,2160212,2415.15,894.4421671532001,2014,63.49,0.0761363636,1,23,580.0,22
31,10280,1473.0,2160212,2415.15,894.4421671532001,2014,63.49,0.0761363636,0,2,615.0,10
32,10280,1473.0,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,0,3,613.0,14
33,10280,1473.0,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,1,27,635.0,16
34,10280,1473.0,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,0,3,607.0,17
35,10280,1473.0,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,0,3,465.0,17
36,10280,1473.0,2018172,2380.43,847.8182513242999,2013,9.21,0.0703163017,0,3,600.0,13
37,10280,1473.0,2018172,2380.43,847.8182513242999,2013,9.21,0.0703163017,0,3,485.0,13
38,10280,1473.0,2018172,2380.43,847.8182513242999,2013,9.21,0.0703163017,1,40,587.0,19
39,10280,1473.0,2018172,2380.43,847.8182513242999,2013,9.21,0.0703163017,1,40,482.0,19
40,10280,1473.0,1504645,2210.2841277426,680.7473216291,2010,7.78,0.0596707819,0,5,518.0,14
41,10280,1473.0,2356094,2426.0,971.1846661171,2015,64.03,0.0673946958,1,10,591.0,22
42,10254,1474.0,2160212,2415.15,894.4421671532001,2014,60.53,0.0,1,134,561.0,31
43,10254,1474.0,2356094,2426.0,971.1846661171,2015,61.8,0.0,1,127,563.0,34
44,10254,1474.0,2356094,2426.0,971.1846661171,2015,61.8,0.0,0,34,587.0,23
45,10254,1474.0,2160212,2415.15,894.4421671532001,2014,60.53,0.0,0,33,590.0,21
46,10252,1484.0,1716598,2302.66,745.4847871592,2011,1.85,0.0,1,55,629.0,20
47,10252,1484.0,2160212,2415.15,894.4421671532001,2014,61.15,0.0,1,59,575.0,26
48,10252,1484.0,2018172,2380.43,847.8182513242999,2013,1.78,0.0,1,69,599.0,23
49,10252,1484.0,1919569,2347.46,817.7217077181,2012,1.89,0.0,1,55,562.0,20
50,10252,1484.0,1504645,2210.2841277426,680.7473216291,2010,1.71,0.0,1,50,544.0,22
51,10252,1484.0,2356094,2426.0,971.1846661171,2015,62.83,0.0,1,59,579.0,26
52,10272,1473.0,2160212,2415.15,894.4421671532001,2014,62.15,0.0733766234,0,16,636.0,8
53,10272,1473.0,1504645,2210.2841277426,680.7473216291,2010,5.3,0.0781893004,0,9,544.0,5
54,10272,1473.0,2018172,2380.43,847.8182513242999,2013,5.15,0.0695863747,0,13,626.0,7
55,10272,1473.0,2160212,2415.15,894.4421671532001,2014,62.15,0.0733766234,1,37,624.0,9
56,10272,1473.0,1919569,2347.46,817.7217077181,2012,5.92,0.067673716,1,25,616.0,6
57,10272,1473.0,1919569,2347.46,817.7217077181,2012,5.92,0.067673716,0,11,617.0,7
58,10272,1473.0,1716598,2302.66,745.4847871592,2011,5.45,0.0744939271,0,10,639.0,7
59,10272,1473.0,2356094,2426.0,971.1846661171,2015,64.02,0.07940717629999999,1,38,644.0,9
60,10272,1473.0,1716598,2302.66,745.4847871592,2011,5.45,0.0744939271,1,25,654.0,6
61,10272,1473.0,1504645,2210.2841277426,680.7473216291,2010,5.3,0.0781893004,1,26,540.0,7
62,10272,1473.0,2018172,2380.43,847.8182513242999,2013,5.15,0.0695863747,1,32,640.0,8
63,10272,1473.0,2356094,2426.0,971.1846661171,2015,64.02,0.07940717629999999,0,16,628.0,8
64,10224,3301.0,1503938,3833.0,392.36577093660003,2015,62.94,0.0,0,6,576.0,26
65,10224,3301.0,1438293,3835.02,375.0418511507,2014,61.33,0.0,0,12,585.0,21
66,10224,3301.0,1438293,3835.02,375.0418511507,2014,61.33,0.0,1,34,541.0,31
67,10224,3301.0,1503938,3833.0,392.36577093660003,2015,62.94,0.0,1,24,551.0,34
68,19145,2760.0,2039426,7193.6,283.5056161032,2011,15.08,0.0393522267,1,40,622.0,24
69,19145,2760.0,2451576,7240.51,338.5916185462,2012,14.97,0.032326284,1,46,569.0,25
70,10145,2760.0,2222670,4383.0,507.11156741959996,2012,14.97,0.032326284,1,92,576.0,22
71,10145,2760.0,1521250,4341.0,350.43768716889997,2010,16.2,0.0465020576,1,42,559.0,23
72,10145,2760.0,1845727,4375.0,421.8804571429,2011,15.08,0.0393522267,1,50,628.0,21
73,10145,2760.0,2862658,4391.0,651.9375996356,2015,67.0,0.035725429,1,114,582.0,24
74,19145,2760.0,2830141,7332.61,385.96638850290003,2014,65.8,0.0402597403,1,67,574.0,31
75,19145,2760.0,2657501,7287.51,364.6651599792,2013,13.67,0.0316301703,1,60,585.0,26
76,10145,2760.0,2484643,4389.0,566.1068580542,2013,13.67,0.0316301703,1,119,592.0,22
77,10145,2760.0,2707765,4390.0,616.8029612756,2014,65.8,0.0402597403,1,126,590.0,25
78,10200,3052.0,1193924,2750.4,434.0910413031,2013,12.73,0.0250608273,1,22,585.0,26
79,10200,3052.0,866758,2746.6,315.5748925945,2011,10.81,0.0,0,10,597.0,23
80,10200,3052.0,866758,2746.6,315.5748925945,2011,10.81,0.0,0,10,610.0,23
81,10200,3052.0,1298146,2751.28,471.833473874,2014,65.27,0.0451298701,1,17,574.0,27
82,10200,3052.0,727875,2739.55,265.6914456754,2010,10.93,0.03,1,6,545.0,24
83,10200,3052.0,727875,2739.55,265.6914456754,2010,10.93,0.03,1,6,531.0,24
84,10200,3052.0,1056883,2749.41,384.40356294620005,2012,11.08,0.0248338369,0,4,581.0,21
85,10200,3052.0,866758,2746.6,315.5748925945,2011,10.81,0.0,1,9,624.0,24
86,10200,3052.0,866758,2746.6,315.5748925945,2011,10.81,0.0,1,9,638.0,24
87,10200,3052.0,1056883,2749.41,384.40356294620005,2012,11.08,0.0248338369,1,8,568.0,25
88,10200,3052.0,727875,2739.55,265.6914456754,2010,10.93,0.03,0,4,519.0,19
89,10200,3052.0,727875,2739.55,265.6914456754,2010,10.93,0.03,0,4,522.0,19
90,10200,3052.0,1193924,2750.4,434.0910413031,2013,12.73,0.0250608273,0,13,590.0,19
91,10200,3052.0,1298146,2751.28,471.833473874,2014,65.27,0.0451298701,0,13,594.0,20
92,10200,3052.0,1380381,2752.0,501.5919331395,2015,66.34,0.0453978159,0,17,586.0,23
93,10200,3052.0,1380381,2752.0,501.5919331395,2015,66.34,0.0453978159,1,25,578.0,31
94,10225,3294.0,1036860,3833.35,270.4840413737,2011,5.11,0.0,0,3,606.0,23
95,10225,3294.0,1438293,3835.02,375.0418511507,2014,61.89,0.0,1,16,597.0,31
96,10225,3294.0,1503938,3833.0,392.36577093660003,2015,63.42,0.0,1,24,568.0,34
97,10225,3294.0,858700,3826.01,224.4374687991,2010,5.46,0.0,0,3,518.0,16
98,10225,3294.0,1036860,3833.35,270.4840413737,2011,5.11,0.0,1,19,567.0,24
99,10225,3294.0,858700,3826.01,224.4374687991,2010,5.46,0.0,1,16,540.0,25
100,10173,2246.0,2862658,4391.0,651.9375996356,2015,62.69,0.0,0,16,602.0,19
101,10173,2246.0,2222670,4383.0,507.11156741959996,2012,3.18,0.0,0,21,581.0,17
102,10173,2246.0,2707765,4390.0,616.8029612756,2014,61.29,0.0,1,31,586.0,25
103,10173,2246.0,1845727,4375.0,421.8804571429,2011,3.38,0.0,0,20,614.0,23
104,10173,2246.0,2222670,4383.0,507.11156741959996,2012,3.18,0.0,1,19,568.0,19
105,10173,2246.0,2707765,4390.0,616.8029612756,2014,61.29,0.0,0,29,594.0,17
106,10173,2246.0,2862658,4391.0,651.9375996356,2015,62.69,0.0,1,24,591.0,25
107,10173,2246.0,2484643,4389.0,566.1068580542,2013,3.15,0.0,0,29,601.0,19
108,10173,2246.0,1521250,4341.0,350.43768716889997,2010,3.32,0.0,1,20,554.0,19
109,10173,2246.0,1845727,4375.0,421.8804571429,2011,3.38,0.0,1,20,624.0,19
110,10173,2246.0,2484643,4389.0,566.1068580542,2013,3.15,0.0,1,31,597.0,23
111,10173,2246.0,1521250,4341.0,350.43768716889997,2010,3.32,0.0,0,20,542.0,14
112,10255,1462.0,2160212,2415.15,894.4421671532001,2014,64.15,0.07646103900000001,1,32,579.0,23
113,10255,1462.0,1716598,2302.66,745.4847871592,2011,7.8,0.0374089069,1,36,629.0,21
114,10255,1462.0,1919569,2347.46,817.7217077181,2012,7.73,0.032326284,1,36,558.0,20
115,10255,1462.0,2356094,2426.0,971.1846661171,2015,63.71,0.036349454,1,32,594.0,24
116,10255,1462.0,1504645,2210.2841277426,680.7473216291,2010,7.71,0.0440329218,1,38,540.0,22
117,10255,1462.0,2018172,2380.43,847.8182513242999,2013,10.43,0.0311435523,1,37,598.0,21
118,10286,1380.0,5916175,7939.49,745.1580643089,2014,68.96,0.1003246753,1,62,600.0,16
119,10286,1380.0,4911027,7898.8006682342,621.7433767825,2012,19.22,0.07794561929999999,1,50,594.0,14
120,10286,1380.0,3445730,7810.269,441.1794267265,2010,19.43,0.07613168719999999,1,40,540.0,15
121,10286,1380.0,3445730,7810.269,441.1794267265,2010,19.43,0.07613168719999999,1,40,562.0,15
122,10286,1380.0,6508832,7960.0,817.6924623116,2015,69.69,0.0962558502,1,67,626.0,16
123,10286,1380.0,5405822,7919.98,682.5550064519999,2013,21.17,0.0793187348,1,65,619.0,13
124,10286,1380.0,4142548,7869.34,526.4161924634,2011,19.73,0.0724696356,1,50,648.0,15
125,10110,2090.0,1275944,3648.0,349.7653508772001,2015,62.49,0.0,1,94,528.0,34
126,10110,2090.0,1275944,3648.0,349.7653508772001,2015,62.49,0.0,0,6,551.0,26
127,10533,662.0,2450167,6690.6,366.21035482620005,2014,70.54,0.0943181818,0,36,611.0,13
128,10533,662.0,1603796,6570.1,244.10526476,2011,27.77,0.0761133603,0,22,606.0,19
129,10533,662.0,1966956,6595.6,298.2224513312,2012,27.62,0.06450151059999999,1,202,591.0,16
130,10533,662.0,2450167,6690.6,366.21035482620005,2014,70.54,0.0943181818,1,280,595.0,18
