University_Name_Pinyin,UniversityNo
fudandaxue,10246
shanghaicaijingdaxue,10272
zhongnancaijingzhengfadaxue,10520
huadongshifandaxue,10269
shanghaiwaiguoyudaxue,10271
zhongguodizhidaxue,11415
nanjingyoudiandaxue,10293
nanjingxinxigongchengdaxue,10300
nanjingnongyedaxue,10307
beijinghangkonghangtiandaxue,10006
shanghaidaxue,10280
zhongnandaxue,10533
suzhoudaxue,10285
guizhoudaxue,10657
neimenggudaxue,10126
duiwaijingjimaoyidaxue,10036
beijingwaiguoyudaxue,10030
jiangnandaxue,10295
zhongguorenmindaxue,10002
qinghuadaxue,10003
beijingtiyudaxue,10043
nanchangdaxue,10403
beijingyuyandaxue,10032
huabeidianlidaxue,10079
beijinghuagongdaxue,10010
jilindaxue,10183
huazhongnongyedaxue,10504
shijiazhuangtiedaodaxue,10107
shijiazhuangtiedaodaxue,10107
beijingligongdaxue,10007
zhengzhoudaxue,10459
zhejiangdaxue,10335
zhongguozhengfadaxue,10053
xinancaijingdaxue,10651
hainandaxue,10589
wuhanligongdaxue,10497
xinanjiaotongdaxue,10613
liaoningdaxue,10140
dongbeicaijingdaxue,10173
xiangtandaxue,10530
nankaidaxue,10055
zhongguochuanmeidaxue,10033
tianjincaijingdaxue,10070
huazhongkejidaxue,10487
huabeidianlidaxue,10054
wuhandaxue,10486
beijinggongyedaxue,10005
beijingjiaotongdaxue,10004
guangdongwaiyuwaimaodaxue,11846
huaqiaodaxue,10385
beijingdierwaiguoyuxueyuan,10031
shandongdaxue,19422
huananshifandaxue,10574
guangzhouzhongyiyaodaxue,10572
zhongyangminzudaxue,10052
zhongguohaiyangdaxue,10423
beijinglinyedaxue,10022
beijingdaxue,10001
xibeigongyedaxue,10699
huananligongdaxue,10561
zhongyangcaijingdaxue,10034
huazhongshifandaxue,10511
lanzhoudaxue,10730
shamendaxue,10384
yanbiandaxue,10184
zhongshandaxue,10558
xinandaxue,10635
zhongguokuangyedaxue,10290
dongbeishifandaxue,10200
anhuidaxue,10357
jinandaxue,10559
sichuandaxue,10610
dalianhaishidaxue,10151
shandongdaxue,10422
zhongguodizhidaxue,10491
xibeinonglinkejidaxue,10712
huanannongyedaxue,10564
hehaidaxue,10294
haerbingongyedaxue,10213
zhongqingdaxue,10611
nanjingdaxue,10284
nanfangyikedaxue,12121
shanxishifandaxue,10718
hunandaxue,10532
hefeigongyedaxue,10359
dongbeilinyedaxue,10225
xianjianzhukejidaxue,10703
changandaxue,10710
hunanshifandaxue,10542
xibeidaxue,10697
xinanzhengfadaxue,10652
shantoudaxue,10560
xianwaiguoyudaxue,10724
qinghuadaxue,10003
shanghaiwaiguoyudaxue,10271
beijingkejidaxue,10008
xinancaijingdaxue,10651
fudandaxue,10246
beijingdaxue,19001
shanghaicaijingdaxue,10272
beijinghangkonghangtiandaxue,10006
zhongguokexuejizhudaxue,10358
beijingwaiguoyudaxue,10030
zhongguonongyedaxue,10019
zhongguorenmindaxue,10002
zhongguoshiyoudaxue,11414
shanghaijiaotongdaxue,10248
huananshifandaxue,10574
guangzhouzhongyiyaodaxue,10572
dongbeishifandaxue,10200
beijinghuagongdaxue,10010
jilindaxue,10183
beijingdaxue,10001
sichuandaxue,10610
huanannongyedaxue,10564
huabeidianlidaxue,10054
beijinggongyedaxue,10005
xinanjiaotongdaxue,10613
guangxidaxue,10593
zhongguohaiyangdaxue,10423
zhongguokuangyedaxue,11413
tianjincaijingdaxue,10070
huadongligongdaxue,10251
zhongguoshiyoudaxue,10425
