"","Year","UniversityNo","Ranking_Scores","Province","Topic","Media_Impact","Plan_Number","GDP_Per_Person","X1A_Number","Level","Lowest_Ranking","Ranking_Percentage"
"94",2010,10003,95.06,"北京","理科",0.827160493827161,34,653.387096774194,29550,4,110,0.00372250423011844
"95",2010,10271,2.94,"上海","理科",0.0322633744855967,8,680.747321629064,29550,23,3524,0.119255499153976
"96",2010,10008,14.25,"北京","理科",0.0893004115226337,31,653.387096774194,29550,29,11773,0.398409475465313
"97",2010,10651,4.55,"四川","理科",0.0806584362139918,36,172.892852779475,29550,27,7402,0.250490693739425
"98",2010,10246,55.83,"上海","理科",0.452674897119342,34,680.747321629064,29550,11,429,0.0145177664974619
"99",2010,19001,100,"北京","理科",1,15,653.387096774194,29550,9,264,0.00893401015228426
"100",2010,10272,5.3,"上海","理科",0.0781893004115226,26,680.747321629064,29550,19,1633,0.0552622673434856
"101",2010,10006,22.14,"北京","理科",0.104115226337449,47,653.387096774194,29550,19,1647,0.0557360406091371
"102",2010,10358,NA,"安徽","理科",NA,32,164.130158212363,29550,14,718,0.0242978003384095
"103",2010,10030,3.77,"北京","理科",0.0388065843621399,8,653.387096774194,29550,25,5656,0.191404399323181
"104",2010,10019,20.76,"北京","理科",0.127572016460905,50,653.387096774194,29550,32,18276,0.618477157360406
"105",2010,10002,37.31,"北京","理科",0.539094650205761,36,653.387096774194,29550,12,519,0.0175634517766497
"106",2010,11414,10.91,"北京","理科",0.0366255144032922,15,653.387096774194,29550,32,19602,0.663350253807107
"107",2010,10248,43.47,"上海","理科",0.154732510288066,43,680.747321629064,29550,10,351,0.0118781725888325
"108",2010,10574,6.53,"广东","理科",0.0477366255144033,1946,389.751600745512,29550,33,22895,0.774788494077834
"109",2010,10572,2.95,"广东","理科",NA,1808,389.751600745512,29550,34,29545,0.999830795262267
"110",2010,10200,10.93,"吉林","理科",0.03,6,265.691445675385,29550,34,26157,0.885177664974619
"111",2010,10010,7.18,"北京","理科",NA,50,653.387096774194,29550,32,18667,0.6317089678511
"112",2010,10183,37.23,"吉林","理科",0.0740740740740741,90,265.691445675385,29550,32,19526,0.66077834179357
"113",2010,10001,100,"北京","理科",1,16,653.387096774194,29550,4,118,0.00399323181049069
"114",2010,10610,34.18,"四川","理科",0.121399176954733,93,172.892852779475,29550,31,14285,0.4834179357022
"115",2010,10564,5.58,"广东","理科",0.0346090534979424,5457,389.751600745512,29550,34,29550,1
"116",2010,10054,4.46,"北京","理科",NA,64,653.387096774194,29550,32,18548,0.627681895093063
"117",2010,10005,7.95,"北京","理科",0.0637860082304527,18,653.387096774194,29550,31,16402,0.555059221658206
"118",2010,10613,9.77,"四川","理科",0.0267489711934156,92,172.892852779475,29550,32,17479,0.591505922165821
"119",2010,10593,5.27,"广西","理科",0.0269135802469136,15,159.785008237232,29550,34,29340,0.992893401015228
"120",2010,10423,11.65,"山东","理科",0.0330864197530864,80,357.925831283064,29550,33,22046,0.746057529610829
"121",2010,11413,10.77,"北京","理科",NA,6,653.387096774194,29550,34,26934,0.911472081218274
"122",2010,10070,1.22,"天津","理科",NA,25,612.448703751954,29550,31,16829,0.569509306260575
"123",2010,10251,11.61,"上海","理科",0.03,36,680.747321629064,29550,30,14107,0.477394247038917
"124",2010,10425,10.91,"山东","理科",0.0366255144032922,37,357.925831283064,29550,34,25753,0.871505922165821
"125",2010,10295,5.45,"江苏","理科",NA,27,441.179426726531,29550,34,29069,0.983722504230118
"126",2010,10560,1.81,"广东","理科",NA,640,389.751600745512,29550,34,29498,0.99824027072758
"127",2010,12121,5.29,"广东","理科",NA,1693,389.751600745512,29550,34,29546,0.999864636209814
"128",2010,10359,7.12,"安徽","理科",NA,108,164.130158212363,29550,33,23190,0.784771573604061
"129",2010,10559,7.1,"广东","理科",0.0650205761316872,1253,389.751600745512,29550,30,12674,0.428900169204738
"130",2010,10255,7.71,"上海","理科",0.0440329218106996,38,680.747321629064,29550,33,21993,0.744263959390863
"131",2010,10316,3.49,"江苏","理科",NA,25,441.179426726531,29550,34,28197,0.954213197969543
"132",2010,10287,11.01,"江苏","理科",0.0267489711934156,40,441.179426726531,29550,30,12011,0.406463620981387
"133",2010,10013,8.38,"北京","理科",0.101646090534979,88,653.387096774194,29550,29,11069,0.374585448392555
"134",2010,10252,1.71,"上海","理科",NA,50,680.747321629064,29550,33,22132,0.748967851099831
"135",2010,10300,1.12,"江苏","理科",NA,17,441.179426726531,29550,34,29252,0.989915397631134
"136",2010,10126,5.56,"内蒙古","理科",NA,11,396.231826280805,29550,34,29550,1
"137",2010,10626,4.51,"四川","理科",NA,20,172.892852779475,29550,34,29550,1
"138",2010,10293,1.48,"江苏","理科",NA,47,441.179426726531,29550,32,18188,0.615499153976311
"139",2010,10357,5.11,"安徽","理科",NA,10,164.130158212363,29550,33,22420,0.758714043993232
"140",2010,10285,9.13,"江苏","理科",0.0335802469135802,24,441.179426726531,29550,34,26239,0.887952622673435
"141",2010,10284,43.99,"江苏","理科",0.155555555555556,42,441.179426726531,29550,15,839,0.0283925549915398
"142",2010,10280,7.78,"上海","理科",0.0596707818930041,25,680.747321629064,29550,32,17596,0.595465313028765
"143",2010,10031,NA,"北京","理科",NA,12,653.387096774194,29550,30,14050,0.475465313028765
"144",2010,10107,NA,"河北","理科",NA,4,245.017059024224,29550,32,19245,0.651269035532995
"145",2010,10052,6.21,"北京","理科",0.0489711934156379,9,653.387096774194,29550,34,27551,0.932351945854484
"146",2010,10216,5.29,"河北","理科",NA,5,245.017059024224,29550,34,26600,0.900169204737733
"147",2010,19145,16.2,"河北","理科",0.0465020576131687,40,245.017059024224,29550,34,28230,0.955329949238579
"148",2010,10570,1.31,"广东","理科",NA,408,389.751600745512,29550,34,29506,0.998510998307953
"149",2010,10080,3.21,"河北","理科",NA,10,245.017059024224,29550,33,24555,0.830964467005076
"150",2010,10004,9.94,"北京","理科",0.0406995884773663,71,653.387096774194,29550,33,20541,0.6951269035533
"151",2010,10459,8.89,"河南","理科",0.0613168724279835,30,205.337380956145,29550,34,29339,0.992859560067682
"152",2010,11415,11.73,"北京","理科",0.0415637860082304,27,653.387096774194,29550,33,24446,0.827275803722504
"153",2010,10007,17.15,"北京","理科",0.094238683127572,61,653.387096774194,29550,27,7447,0.252013536379019
"154",2010,10335,53.16,"浙江","理科",0.240740740740741,73,435.794711401763,29550,12,533,0.0180372250423012
"155",2010,10343,NA,"浙江","理科",NA,25,435.794711401763,29550,34,29017,0.981962774957699
"156",2010,10026,3.89,"北京","理科",NA,2,653.387096774194,29550,28,8611,0.291404399323181
"157",2010,10589,4.76,"海南","理科",0.035761316872428,116,191.443980233083,29550,34,27559,0.932622673434856
"158",2010,10598,0.96,"广西","理科",NA,12,159.785008237232,29550,34,28884,0.97746192893401
"159",2010,10487,33.15,"湖北","理科",0.0888888888888889,160,226.592657342657,29550,26,6329,0.214179357021997
"160",2010,10486,40.14,"湖北","理科",0.179423868312757,145,226.592657342657,29550,26,5971,0.202064297800338
"161",2010,10023,NA,"北京","理科",NA,10,653.387096774194,29550,34,28667,0.970118443316413
"162",2010,10497,8.75,"湖北","理科",0.0347325102880658,184,226.592657342657,29550,31,16887,0.571472081218274
"163",2010,10294,8.16,"江苏","理科",NA,77,441.179426726531,29550,34,25777,0.872318104906937
"164",2010,10286,19.43,"江苏","理科",0.0761316872427984,40,441.179426726531,29550,28,9234,0.31248730964467
"165",2010,10036,3.85,"北京","理科",0.0502057613168724,33,653.387096774194,29550,21,2513,0.0850423011844332
"166",2010,10288,11.48,"江苏","理科",NA,42,441.179426726531,29550,31,14372,0.486362098138748
"167",2010,10299,3.29,"江苏","理科",NA,40,441.179426726531,29550,34,26621,0.90087986463621
"168",2010,10247,21.62,"上海","理科",0.155144032921811,80,680.747321629064,29550,20,2040,0.0690355329949239
"169",2010,10491,11.73,"湖北","理科",0.0415637860082304,56,226.592657342657,29550,33,24313,0.822774957698816
"170",2010,10504,10.88,"湖北","理科",0.0330452674897119,28,226.592657342657,29550,33,23699,0.801996615905245
"171",2010,10511,11.77,"湖北","理科",0.0481481481481481,24,226.592657342657,29550,34,29086,0.98429780033841
"172",2010,10530,4.67,"湖南","理科",NA,33,203.866531376834,29550,34,28780,0.973942470389171
"173",2010,10290,10.77,"江苏","理科",NA,81,441.179426726531,29550,34,29486,0.997834179357022
"174",2010,10033,4.01,"北京","理科",0.0893004115226337,15,653.387096774194,29550,28,9736,0.329475465313029
"175",2010,10541,0.94,"湖南","理科",NA,7,203.866531376834,29550,34,29105,0.984940778341794
"176",2010,10291,5.43,"江苏","理科",NA,40,441.179426726531,29550,33,24600,0.83248730964467
"177",2010,10112,6.2,"山西","理科",NA,40,214.693233275757,29550,34,25698,0.869644670050761
"178",2010,10533,28.22,"湖南","理科",0.0691358024691358,236,203.866531376834,29550,31,15261,0.516446700507614
"179",2010,10532,13.84,"湖南","理科",0.0576131687242798,148,203.866531376834,29550,30,13505,0.457021996615905
"180",2010,10542,8.28,"湖南","理科",0.0309053497942387,26,203.866531376834,29550,34,29406,0.995126903553299
"181",2010,10730,14.36,"甘肃","理科",0.0493827160493827,38,132.590189086895,29550,33,23374,0.790998307952623
"182",2010,11846,1.5,"广东","理科",NA,1909,389.751600745512,29550,32,17940,0.607106598984772
"183",2010,10384,26.4,"福建","理科",0.118930041152263,70,333.784233496999,29550,30,12248,0.414483925549915
"184",2010,19013,8.38,"北京","理科",0.101646090534979,14,653.387096774194,29550,33,22977,0.77756345177665
"185",2010,10043,1.87,"北京","理科",0.0617283950617284,15,653.387096774194,29550,34,29550,1
"186",2010,10385,1.3,"福建","理科",0.0388477366255144,186,333.784233496999,29550,34,29441,0.996311336717428
"187",2010,10386,5.7,"福建","理科",0.0337037037037037,10,333.784233496999,29550,34,24811,0.839627749576988
"188",2010,10079,4.46,"河北","理科",NA,59,245.017059024224,29550,31,15912,0.538477157360406
"189",2010,10657,4.55,"贵州","理科",NA,18,110.621430590896,29550,34,26886,0.909847715736041
"190",2010,10151,3.38,"辽宁","理科",NA,73,350.437687168855,29550,34,29032,0.982470389170897
"191",2010,10140,4.8,"辽宁","理科",NA,14,350.437687168855,29550,34,29363,0.993671742808799
"192",2010,10022,7.21,"北京","理科",0.0323456790123457,54,653.387096774194,29550,33,24073,0.814653130287648
"193",2010,10173,3.32,"辽宁","理科",NA,20,350.437687168855,29550,31,15200,0.514382402707276
"194",2010,10614,9.79,"四川","理科",0.0382716049382716,120,172.892852779475,29550,31,15120,0.511675126903553
"195",2010,10147,1.6,"辽宁","理科",NA,30,350.437687168855,29550,34,27850,0.942470389170897
"196",2010,10141,18.38,"辽宁","理科",0.0267078189300412,30,350.437687168855,29550,29,11656,0.394450084602369
"197",2010,10159,4.21,"辽宁","理科",NA,19,350.437687168855,29550,33,22217,0.751844331641286
"198",2010,10520,5.94,"湖北","理科",0.0448559670781893,125,226.592657342657,29550,30,13535,0.458037225042301
"199",2010,10145,16.2,"辽宁","理科",0.0465020576131687,42,350.437687168855,29550,33,22866,0.773807106598985
"200",2010,10062,3.49,"天津","理科",NA,10,612.448703751954,29550,34,27798,0.940710659898477
"201",2010,10056,22.65,"天津","理科",0.0650205761316872,30,612.448703751954,29550,26,6611,0.223722504230118
"202",2010,10635,9.33,"重庆","理科",0.0633744855967078,37,228.401888772298,29550,34,29392,0.994653130287648
"203",2010,10652,3.81,"重庆","理科",0.0306172839506173,69,228.401888772298,29550,33,23308,0.788764805414552
"204",2010,10034,5.38,"北京","理科",0.258024691358025,53,653.387096774194,29550,20,2046,0.069238578680203
"205",2010,10055,30.09,"天津","理科",0.160082304526749,28,612.448703751954,29550,19,1753,0.0593231810490694
"206",2010,10611,15.33,"重庆","理科",0.060082304526749,80,228.401888772298,29550,32,17825,0.603214890016921
"207",2010,10710,7.86,"陕西","理科",NA,46,219.205795546016,29550,34,28490,0.964128595600677
"208",2010,10699,18.09,"陕西","理科",NA,21,219.205795546016,29550,31,15713,0.531742808798646
"209",2010,10708,1.08,"陕西","理科",NA,15,219.205795546016,29550,34,25220,0.853468697123519
"210",2010,10718,5.82,"陕西","理科",NA,32,219.205795546016,29550,34,28571,0.966869712351946
"211",2010,10697,11.58,"陕西","理科",0.0477366255144033,6,219.205795546016,29550,34,28814,0.975093062605753
"212",2010,10698,27.45,"陕西","理科",0.0584362139917695,28,219.205795546016,29550,24,4333,0.14663282571912
"213",2010,10053,6.2,"北京","理科",0.193004115226337,39,653.387096774194,29550,24,4748,0.160676818950931
"214",2010,19422,28.98,"山东","理科",0.0888888888888889,18,357.925831283064,29550,34,29187,0.987715736040609
"215",2010,10712,8.9,"陕西","理科",NA,14,219.205795546016,29550,33,23607,0.798883248730965
"216",2010,10422,28.98,"山东","理科",0.0888888888888889,61,357.925831283064,29550,31,14519,0.491336717428088
"217",2010,10307,8.61,"江苏","理科",NA,59,441.179426726531,29550,34,27677,0.936615905245347
"218",2010,10701,8.21,"陕西","理科",NA,90,219.205795546016,29550,33,21794,0.737529610829103
"219",2010,10558,32.72,"广东","理科",0.226748971193416,2810,389.751600745512,29550,29,11428,0.38673434856176
"220",2010,10561,16.15,"广东","理科",0.0736625514403292,2981,389.751600745512,29550,29,10589,0.35834179357022
"221",2010,10724,NA,"陕西","理科",NA,7,219.205795546016,29550,34,28511,0.964839255499154
"222",2010,10403,7.42,"江西","理科",0.042798353909465,22,172.719019206467,29550,34,29057,0.98331641285956
"223",2010,10703,2.72,"陕西","理科",NA,1,219.205795546016,29550,27,7387,0.249983079526227
"224",2010,80001,1.81,"广东","理科",NA,246,389.751600745512,29550,34,29092,0.984500846023689
"225",2010,10213,28.32,"黑龙江","理科",0.0555555555555556,63,224.437468799088,29550,27,7458,0.25238578680203
"226",2010,10107,NA,"黑龙江","理科",NA,4,224.437468799088,29550,32,19245,0.651269035532995
"227",2010,10226,3.57,"黑龙江","理科",NA,18,224.437468799088,29550,34,28616,0.96839255499154
"228",2010,10184,3.17,"吉林","理科",NA,6,265.691445675385,29550,34,29550,1
"229",2010,10220,NA,"黑龙江","理科",NA,5,224.437468799088,29550,34,28693,0.970998307952623
"230",2010,10225,5.46,"黑龙江","理科",NA,16,224.437468799088,29550,34,29550,1
"231",2010,10217,10.44,"黑龙江","理科",NA,20,224.437468799088,29550,34,26000,0.879864636209814
"232",2010,10163,1.67,"辽宁","理科",NA,10,350.437687168855,29550,33,24363,0.824467005076142
"329",2011,10010,7.76,"北京","理科",NA,47,719.383250930221,30392,34,29317,0.964628849697289
"330",2011,10126,5.47,"内蒙古","理科",NA,7,472.13390610716,30392,34,30392,1
"331",2011,10003,94.72,"北京","理科",0.882591093117409,27,719.383250930221,30392,3,95,0.00312582258489076
"332",2011,10280,8.18,"上海","理科",0.0615384615384615,27,745.484787159199,30392,30,13602,0.447551987365096
