"","Year","UniversityNo","Ranking_Scores","Province","Topic","Media_Impact","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"1",2010,10246,55.83,"上海","文科",0.452674897119342,15,680.747321629064,10869,9
"2",2010,10272,5.3,"上海","文科",0.0781893004115226,9,680.747321629064,10869,29
"3",2010,10520,5.94,"湖北","文科",0.0448559670781893,100,226.592657342657,10869,47
"4",2010,10269,21.11,"上海","文科",0.103292181069959,4,680.747321629064,10869,46
"5",2010,10271,2.94,"上海","文科",0.0322633744855967,8,680.747321629064,10869,31
"6",2010,11415,11.73,"北京","文科",0.0415637860082304,4,653.387096774194,10869,52
"7",2010,10293,1.48,"江苏","文科",NA,3,441.179426726531,10869,58
"8",2010,10300,1.12,"江苏","文科",NA,8,441.179426726531,10869,59
"9",2010,10307,8.61,"江苏","文科",NA,10,441.179426726531,10869,58
"10",2010,10006,22.14,"北京","文科",0.104115226337449,3,653.387096774194,10869,46
"11",2010,10280,7.78,"上海","文科",0.0596707818930041,5,680.747321629064,10869,50
"12",2010,10533,28.22,"湖南","文科",0.0691358024691358,22,203.866531376834,10869,54
"13",2010,10285,9.13,"江苏","文科",0.0335802469135802,6,441.179426726531,10869,52
"14",2010,10657,4.55,"贵州","文科",NA,6,110.621430590896,10869,59
"15",2010,10126,5.56,"内蒙古","文科",NA,4,396.231826280805,10869,59
"16",2010,10036,3.85,"北京","文科",0.0502057613168724,32,653.387096774194,10869,28
"17",2010,10030,3.77,"北京","文科",0.0388065843621399,8,653.387096774194,10869,19
"18",2010,10295,5.45,"江苏","文科",NA,21,441.179426726531,10869,58
"19",2010,10002,37.31,"北京","文科",0.539094650205761,37,653.387096774194,10869,11
"20",2010,10003,95.06,"北京","文科",0.827160493827161,2,653.387096774194,10869,1
"21",2010,10043,1.87,"北京","文科",0.0617283950617284,7,653.387096774194,10869,58
"22",2010,10403,7.42,"江西","文科",0.042798353909465,20,172.719019206467,10869,58
"23",2010,10032,1.57,"北京","文科",0.0269958847736626,15,653.387096774194,10869,40
"24",2010,10079,4.46,"河北","文科",NA,4,245.017059024224,10869,59
"25",2010,10010,7.18,"北京","文科",NA,8,653.387096774194,10869,57
"26",2010,10183,37.23,"吉林","文科",0.0740740740740741,10,265.691445675385,10869,56
"27",2010,10504,10.88,"湖北","文科",0.0330452674897119,12,226.592657342657,10869,59
"28",2010,10107,NA,"黑龙江","文科",NA,1,224.437468799088,10869,57
"29",2010,10107,NA,"河北","文科",NA,1,245.017059024224,10869,57
"30",2010,10007,17.15,"北京","文科",0.094238683127572,4,653.387096774194,10869,44
"31",2010,10459,8.89,"河南","文科",0.0613168724279835,12,205.337380956145,10869,59
"32",2010,10335,53.16,"浙江","文科",0.240740740740741,12,435.794711401763,10869,22
"33",2010,10053,6.2,"北京","文科",0.193004115226337,48,653.387096774194,10869,32
"34",2010,10651,4.55,"四川","文科",0.0806584362139918,25,172.892852779475,10869,50
"35",2010,10589,4.76,"海南","文科",0.035761316872428,49,191.443980233083,10869,59
"36",2010,10497,8.75,"湖北","文科",0.0347325102880658,16,226.592657342657,10869,57
"37",2010,10613,9.77,"四川","文科",0.0267489711934156,4,172.892852779475,10869,57
"38",2010,10140,4.8,"辽宁","文科",NA,41,350.437687168855,10869,59
"39",2010,10173,3.32,"辽宁","文科",NA,20,350.437687168855,10869,49
"40",2010,10530,4.67,"湖南","文科",NA,27,203.866531376834,10869,59
"41",2010,10055,30.09,"天津","文科",0.160082304526749,10,612.448703751954,10869,30
"42",2010,10033,4.01,"北京","文科",0.0893004115226337,9,653.387096774194,10869,40
"43",2010,10070,1.22,"天津","文科",NA,20,612.448703751954,10869,50
"44",2010,10487,33.15,"湖北","文科",0.0888888888888889,24,226.592657342657,10869,46
"45",2010,10054,4.46,"北京","文科",NA,9,653.387096774194,10869,55
"46",2010,10486,40.14,"湖北","文科",0.179423868312757,30,226.592657342657,10869,37
"47",2010,10005,7.95,"北京","文科",0.0637860082304527,2,653.387096774194,10869,57
"48",2010,10004,9.94,"北京","文科",0.0406995884773663,4,653.387096774194,10869,42
"49",2010,11846,1.5,"广东","文科",NA,2024,389.751600745512,10869,55
"50",2010,10385,1.3,"福建","文科",0.0388477366255144,44,333.784233496999,10869,59
"51",2010,10031,NA,"北京","文科",NA,13,653.387096774194,10869,44
"52",2010,19422,28.98,"山东","文科",0.0888888888888889,12,357.925831283064,10869,59
"53",2010,10574,6.53,"广东","文科",0.0477366255144033,1347,389.751600745512,10869,58
"54",2010,10572,2.95,"广东","文科",NA,576,389.751600745512,10869,59
"55",2010,10052,6.21,"北京","文科",0.0489711934156379,8,653.387096774194,10869,56
"56",2010,10423,11.65,"山东","文科",0.0330864197530864,20,357.925831283064,10869,54
"57",2010,10022,7.21,"北京","文科",0.0323456790123457,16,653.387096774194,10869,59
"58",2010,10001,100,"北京","文科",1,12,653.387096774194,10869,1
"59",2010,10699,18.09,"陕西","文科",NA,4,219.205795546016,10869,59
"60",2010,10561,16.15,"广东","文科",0.0736625514403292,203,389.751600745512,10869,54
"61",2010,10034,5.38,"北京","文科",0.258024691358025,17,653.387096774194,10869,29
"62",2010,10511,11.77,"湖北","文科",0.0481481481481481,17,226.592657342657,10869,54
"63",2010,10730,14.36,"甘肃","文科",0.0493827160493827,12,132.590189086895,10869,55
"64",2010,10384,26.4,"福建","文科",0.118930041152263,22,333.784233496999,10869,40
"65",2010,10184,3.17,"吉林","文科",NA,4,265.691445675385,10869,59
"66",2010,10558,32.72,"广东","文科",0.226748971193416,940,389.751600745512,10869,45
"67",2010,10635,9.33,"重庆","文科",0.0633744855967078,13,228.401888772298,10869,57
"68",2010,10290,10.77,"江苏","文科",NA,12,441.179426726531,10869,56
"69",2010,10200,10.93,"吉林","文科",0.03,4,265.691445675385,10869,59
"70",2010,10357,5.11,"安徽","文科",NA,10,164.130158212363,10869,59
"71",2010,10559,7.1,"广东","文科",0.0650205761316872,649,389.751600745512,10869,49
"72",2010,10610,34.18,"四川","文科",0.121399176954733,16,172.892852779475,10869,49
