,Unnamed: 0,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Lowest_Ranking,Score,Ranking_Scores,Media_Impact,GDP,Population,Student_Population,GDP_Per_Person,X1A_Number,Ranking_Percentage,University_Name_Pinyin,Distance,Plan_Number_Total,New_Label,Label,Lowest,Last_Ranking,Average_Ranking
0,4,上海交通大学,10248,2014,0,上海,上海交通大学,1,78,654,79.72,0.266233766233766,2160212,2415.15,75.6,894.4421671531791,14000,0.00557142857142857,shanghaijiaotongdaxue,1452.0,25.0,2.0,2.0,664.0,45.0,162.66666666666666
1,8,上海交通大学,19248,2014,1,上海,上海交通大学医学,7,3727,630,79.72,0.266233766233766,2160212,2415.15,75.6,894.4421671531791,43106,0.0864612814921357,shanghaijiaotongdaxue,1452.0,631.0,13.0,13.0,647.0,479.0,1077.3333333333333
2,11,上海交通大学,19248,2012,1,上海,上海交通大学医学,8,1036,657,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,29207,0.0354709487451638,shanghaijiaotongdaxue,1452.0,358.0,11.0,9.0,616.0,1717.0,1717.0
3,22,上海交通大学,10248,2013,1,上海,上海交通大学,43,274,672,47.62,0.16569343065693398,2018172,2380.43,72.7,847.818251324341,40420,0.00677882236516576,shanghaijiaotongdaxue,1452.0,168.0,3.0,2.0,652.0,309.0,314.6666666666667
4,30,上海交通大学,19248,2013,1,上海,上海交通大学医学,8,479,666,47.62,0.16569343065693398,2018172,2380.43,72.7,847.818251324341,40420,0.011850569025235002,shanghaijiaotongdaxue,1452.0,176.0,13.0,3.0,656.0,1036.0,1376.5
5,38,上海交通大学,10248,2015,0,上海,上海交通大学,1,39,657,81.08,0.27613104524181004,2356094,2426.0,75.4,971.1846661170649,16964,0.00229898608818675,shanghaijiaotongdaxue,1452.0,5.0,2.0,1.0,654.0,78.0,141.5
6,44,上海交通大学,10248,2011,1,上海,上海交通大学,40,284,654,43.63,0.24655870445344102,1716598,2302.66,65.5,745.4847871591991,30392,0.00934456435904185,shanghaijiaotongdaxue,1452.0,115.0,3.0,3.0,686.0,351.0,351.0
7,55,上海交通大学,10248,2013,0,上海,上海交通大学,1,45,664,47.62,0.16569343065693398,2018172,2380.43,72.7,847.818251324341,12924,0.0034818941504178302,shanghaijiaotongdaxue,1452.0,23.0,2.0,2.0,638.0,403.0,221.5
8,66,上海交通大学,10248,2015,1,上海,上海交通大学,25,197,683,81.08,0.27613104524181004,2356094,2426.0,75.4,971.1846661170649,51000,0.0038627450980392203,shanghaijiaotongdaxue,1452.0,105.0,3.0,3.0,670.0,192.0,282.0
9,81,上海交通大学,10248,2012,0,上海,上海交通大学,1,403,638,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,10000,0.0403,shanghaijiaotongdaxue,1452.0,97.0,3.0,6.0,654.0,40.0,40.0
