,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
0,10248,2014,0,664.0,2160212,2415.15,894.4421671531791,1,79.72,0.266233766233766,1452.0,45.0,162.66666666666666
1,19248,2014,1,647.0,2160212,2415.15,894.4421671531791,7,79.72,0.266233766233766,1452.0,479.0,1077.3333333333333
2,19248,2012,1,616.0,1919569,2347.46,817.721707718129,8,42.52,0.165558912386707,1452.0,1717.0,1717.0
4,10248,2013,1,652.0,2018172,2380.43,847.818251324341,43,47.62,0.16569343065693398,1452.0,309.0,314.6666666666667
5,19248,2013,1,656.0,2018172,2380.43,847.818251324341,8,47.62,0.16569343065693398,1452.0,1036.0,1376.5
6,10248,2015,0,654.0,2356094,2426.0,971.1846661170649,1,81.08,0.27613104524181004,1452.0,78.0,141.5
7,10248,2011,1,686.0,1716598,2302.66,745.4847871591991,40,43.63,0.24655870445344102,1452.0,351.0,351.0
8,10248,2013,0,638.0,2018172,2380.43,847.818251324341,1,47.62,0.16569343065693398,1452.0,403.0,221.5
9,10248,2015,1,670.0,2356094,2426.0,971.1846661170649,25,81.08,0.27613104524181004,1452.0,192.0,282.0
10,10248,2012,0,654.0,1919569,2347.46,817.721707718129,1,42.52,0.165558912386707,1452.0,40.0,40.0
12,10248,2014,1,653.0,2160212,2415.15,894.4421671531791,25,79.72,0.266233766233766,1452.0,274.0,304.5
15,10248,2012,1,634.0,1919569,2347.46,817.721707718129,40,42.52,0.165558912386707,1452.0,284.0,317.5
16,10271,2014,0,618.0,2160212,2415.15,894.4421671531791,8,61.04,0.0,1466.0,3021.0,1390.0
17,10271,2013,1,630.0,2018172,2380.43,847.818251324341,8,2.53,0.0279805352798054,1466.0,5368.0,4817.333333333333
19,10271,2014,1,630.0,2160212,2415.15,894.4421671531791,16,61.04,0.0,1466.0,4868.0,4830.0
20,10271,2015,1,562.0,2356094,2426.0,971.1846661170649,10,62.44,0.0,1466.0,40538.0,11971.6
21,10271,2015,0,626.0,2356094,2426.0,971.1846661170649,6,62.44,0.0,1466.0,1075.0,1327.0
22,10271,2012,0,626.0,1919569,2347.46,817.721707718129,5,2.86,0.0283987915407855,1466.0,717.0,711.5
23,10271,2011,1,663.0,1716598,2302.66,745.4847871591991,9,2.8,0.0293927125506073,1466.0,3524.0,3524.0
24,10271,2013,0,625.0,2018172,2380.43,847.818251324341,4,2.53,0.0279805352798054,1466.0,1116.0,846.3333333333334
25,10271,2012,1,597.0,1919569,2347.46,817.721707718129,10,2.86,0.0283987915407855,1466.0,5560.0,4542.0
26,10271,2011,0,637.0,1716598,2302.66,745.4847871591991,9,2.8,0.0293927125506073,1466.0,706.0,706.0
28,10280,2011,1,635.0,1716598,2302.66,745.4847871591991,27,8.18,0.0615384615384615,1473.0,17596.0,17596.0
31,10280,2014,1,580.0,2160212,2415.15,894.4421671531791,23,63.49,0.0761363636363636,1473.0,17408.0,16375.25
32,10280,2013,1,587.0,2018172,2380.43,847.818251324341,40,9.21,0.070316301703163,1473.0,16895.0,16031.0
33,10280,2013,1,482.0,2018172,2380.43,847.818251324341,40,9.21,0.070316301703163,1473.0,16895.0,16031.0
34,10280,2012,1,579.0,1919569,2347.46,817.721707718129,22,8.16,0.0719033232628399,1473.0,13602.0,15599.0
35,10280,2012,1,416.0,1919569,2347.46,817.721707718129,22,8.16,0.0719033232628399,1473.0,13602.0,15599.0
36,10280,2015,1,591.0,2356094,2426.0,971.1846661170649,10,64.03,0.0673946957878315,1473.0,18425.0,16785.2
37,10280,2013,0,600.0,2018172,2380.43,847.818251324341,3,9.21,0.070316301703163,1473.0,5894.0,4315.666666666667
38,10280,2013,0,485.0,2018172,2380.43,847.818251324341,3,9.21,0.070316301703163,1473.0,5894.0,4315.666666666667
39,10280,2011,0,613.0,1716598,2302.66,745.4847871591991,3,8.18,0.0615384615384615,1473.0,4252.0,4252.0
40,10280,2014,0,615.0,2160212,2415.15,894.4421671531791,2,63.49,0.0761363636363636,1473.0,3664.0,4152.75
41,10280,2012,0,607.0,1919569,2347.46,817.721707718129,3,8.16,0.0719033232628399,1473.0,2801.0,3526.5
42,10280,2012,0,465.0,1919569,2347.46,817.721707718129,3,8.16,0.0719033232628399,1473.0,2801.0,3526.5
43,10254,2015,0,,2356094,2426.0,971.1846661170649,34,61.8,0.0,1474.0,14000.0,14000.0
44,10254,2015,1,,2356094,2426.0,971.1846661170649,127,61.8,0.0,1474.0,43106.0,43106.0
47,10252,2012,1,562.0,1919569,2347.46,817.721707718129,55,1.89,0.0,1484.0,19761.0,20946.5
48,10252,2014,1,575.0,2160212,2415.15,894.4421671531791,59,61.15,0.0,1484.0,27201.0,22085.25
50,10252,2015,1,579.0,2356094,2426.0,971.1846661170649,59,62.83,0.0,1484.0,26375.0,22943.2
51,10252,2011,1,629.0,1716598,2302.66,745.4847871591991,55,1.85,0.0,1484.0,22132.0,22132.0
52,10252,2013,1,599.0,2018172,2380.43,847.818251324341,69,1.78,0.0,1484.0,19247.0,20380.0
54,10272,2013,0,626.0,2018172,2380.43,847.818251324341,13,5.15,0.0695863746958637,1473.0,702.0,585.6666666666666
55,10272,2015,1,644.0,2356094,2426.0,971.1846661170649,38,64.02,0.0794071762870515,1473.0,1697.0,1697.8
56,10272,2014,1,624.0,2160212,2415.15,894.4421671531791,37,62.15,0.0733766233766234,1473.0,2583.0,1698.0
57,10272,2014,0,636.0,2160212,2415.15,894.4421671531791,16,62.15,0.0733766233766234,1473.0,818.0,643.75
58,10272,2011,1,654.0,1716598,2302.66,745.4847871591991,25,5.45,0.0744939271255061,1473.0,1633.0,1633.0
59,10272,2015,0,628.0,2356094,2426.0,971.1846661170649,16,64.02,0.0794071762870515,1473.0,1077.0,730.4
60,10272,2011,0,639.0,1716598,2302.66,745.4847871591991,10,5.45,0.0744939271255061,1473.0,576.0,576.0
