"","Year","Ranking_Scores","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"94",2010,95.06,34,653.387096774194,29550,"C"
"95",2010,2.94,8,680.747321629064,29550,"H"
"96",2010,14.25,31,653.387096774194,29550,"J"
"97",2010,4.55,36,172.892852779475,29550,"J"
"98",2010,55.83,34,680.747321629064,29550,"E"
"99",2010,100,15,653.387096774194,29550,"E"
"100",2010,5.3,26,680.747321629064,29550,"G"
"101",2010,22.14,47,653.387096774194,29550,"G"
"102",2010,NA,32,164.130158212363,29550,"F"
"103",2010,3.77,8,653.387096774194,29550,"I"
"104",2010,20.76,50,653.387096774194,29550,"K"
"105",2010,37.31,36,653.387096774194,29550,"F"
"106",2010,10.91,15,653.387096774194,29550,"K"
"107",2010,43.47,43,680.747321629064,29550,"E"
"108",2010,6.53,1946,389.751600745512,29550,"K"
"109",2010,2.95,1808,389.751600745512,29550,"K"
"110",2010,10.93,6,265.691445675385,29550,"K"
"111",2010,7.18,50,653.387096774194,29550,"K"
"112",2010,37.23,90,265.691445675385,29550,"K"
"113",2010,100,16,653.387096774194,29550,"D"
"114",2010,34.18,93,172.892852779475,29550,"J"
"115",2010,5.58,5457,389.751600745512,29550,"K"
"116",2010,4.46,64,653.387096774194,29550,"K"
"117",2010,7.95,18,653.387096774194,29550,"K"
"118",2010,9.77,92,172.892852779475,29550,"K"
"119",2010,5.27,15,159.785008237232,29550,"K"
"120",2010,11.65,80,357.925831283064,29550,"K"
"121",2010,10.77,6,653.387096774194,29550,"K"
"122",2010,1.22,25,612.448703751954,29550,"K"
"123",2010,11.61,36,680.747321629064,29550,"J"
"124",2010,10.91,37,357.925831283064,29550,"K"
"125",2010,5.45,27,441.179426726531,29550,"K"
"126",2010,1.81,640,389.751600745512,29550,"K"
"127",2010,5.29,1693,389.751600745512,29550,"K"
"128",2010,7.12,108,164.130158212363,29550,"K"
"129",2010,7.1,1253,389.751600745512,29550,"J"
"130",2010,7.71,38,680.747321629064,29550,"K"
"131",2010,3.49,25,441.179426726531,29550,"K"
"132",2010,11.01,40,441.179426726531,29550,"J"
"133",2010,8.38,88,653.387096774194,29550,"J"
"134",2010,1.71,50,680.747321629064,29550,"K"
"135",2010,1.12,17,441.179426726531,29550,"K"
"136",2010,5.56,11,396.231826280805,29550,"K"
"137",2010,4.51,20,172.892852779475,29550,"K"
"138",2010,1.48,47,441.179426726531,29550,"K"
"139",2010,5.11,10,164.130158212363,29550,"K"
"140",2010,9.13,24,441.179426726531,29550,"K"
"141",2010,43.99,42,441.179426726531,29550,"F"
"142",2010,7.78,25,680.747321629064,29550,"K"
"143",2010,NA,12,653.387096774194,29550,"J"
"144",2010,NA,4,245.017059024224,29550,"K"
"145",2010,6.21,9,653.387096774194,29550,"K"
"146",2010,5.29,5,245.017059024224,29550,"K"
"147",2010,16.2,40,245.017059024224,29550,"K"
"148",2010,1.31,408,389.751600745512,29550,"K"
"149",2010,3.21,10,245.017059024224,29550,"K"
"150",2010,9.94,71,653.387096774194,29550,"K"
"151",2010,8.89,30,205.337380956145,29550,"K"
"152",2010,11.73,27,653.387096774194,29550,"K"
"153",2010,17.15,61,653.387096774194,29550,"J"
"154",2010,53.16,73,435.794711401763,29550,"F"
"155",2010,NA,25,435.794711401763,29550,"K"
"156",2010,3.89,2,653.387096774194,29550,"J"
"157",2010,4.76,116,191.443980233083,29550,"K"
"158",2010,0.96,12,159.785008237232,29550,"K"
"159",2010,33.15,160,226.592657342657,29550,"I"
"160",2010,40.14,145,226.592657342657,29550,"I"
"161",2010,NA,10,653.387096774194,29550,"K"
"162",2010,8.75,184,226.592657342657,29550,"K"
"163",2010,8.16,77,441.179426726531,29550,"K"
"164",2010,19.43,40,441.179426726531,29550,"J"
"165",2010,3.85,33,653.387096774194,29550,"H"
"166",2010,11.48,42,441.179426726531,29550,"J"
"167",2010,3.29,40,441.179426726531,29550,"K"
"168",2010,21.62,80,680.747321629064,29550,"H"
"169",2010,11.73,56,226.592657342657,29550,"K"
"170",2010,10.88,28,226.592657342657,29550,"K"
"171",2010,11.77,24,226.592657342657,29550,"K"
"172",2010,4.67,33,203.866531376834,29550,"K"
"173",2010,10.77,81,441.179426726531,29550,"K"
"174",2010,4.01,15,653.387096774194,29550,"J"
"175",2010,0.94,7,203.866531376834,29550,"K"
"176",2010,5.43,40,441.179426726531,29550,"K"
"177",2010,6.2,40,214.693233275757,29550,"K"
"178",2010,28.22,236,203.866531376834,29550,"K"
"179",2010,13.84,148,203.866531376834,29550,"J"
"180",2010,8.28,26,203.866531376834,29550,"K"
"181",2010,14.36,38,132.590189086895,29550,"K"
"182",2010,1.5,1909,389.751600745512,29550,"K"
"183",2010,26.4,70,333.784233496999,29550,"J"
"184",2010,8.38,14,653.387096774194,29550,"K"
"185",2010,1.87,15,653.387096774194,29550,"K"
"186",2010,1.3,186,333.784233496999,29550,"K"
"187",2010,5.7,10,333.784233496999,29550,"K"
"188",2010,4.46,59,245.017059024224,29550,"K"
"189",2010,4.55,18,110.621430590896,29550,"K"
"190",2010,3.38,73,350.437687168855,29550,"K"
"191",2010,4.8,14,350.437687168855,29550,"K"
"192",2010,7.21,54,653.387096774194,29550,"K"
"193",2010,3.32,20,350.437687168855,29550,"K"
"194",2010,9.79,120,172.892852779475,29550,"K"
"195",2010,1.6,30,350.437687168855,29550,"K"
"196",2010,18.38,30,350.437687168855,29550,"J"
"197",2010,4.21,19,350.437687168855,29550,"K"
"198",2010,5.94,125,226.592657342657,29550,"J"
"199",2010,16.2,42,350.437687168855,29550,"K"
"200",2010,3.49,10,612.448703751954,29550,"K"
"201",2010,22.65,30,612.448703751954,29550,"I"
"202",2010,9.33,37,228.401888772298,29550,"K"
"203",2010,3.81,69,228.401888772298,29550,"K"
"204",2010,5.38,53,653.387096774194,29550,"H"
"205",2010,30.09,28,612.448703751954,29550,"G"
"206",2010,15.33,80,228.401888772298,29550,"K"
"207",2010,7.86,46,219.205795546016,29550,"K"
"208",2010,18.09,21,219.205795546016,29550,"K"
"209",2010,1.08,15,219.205795546016,29550,"K"
"210",2010,5.82,32,219.205795546016,29550,"K"
"211",2010,11.58,6,219.205795546016,29550,"K"
"212",2010,27.45,28,219.205795546016,29550,"I"
"213",2010,6.2,39,653.387096774194,29550,"I"
"214",2010,28.98,18,357.925831283064,29550,"K"
"215",2010,8.9,14,219.205795546016,29550,"K"
"216",2010,28.98,61,357.925831283064,29550,"J"
"217",2010,8.61,59,441.179426726531,29550,"K"
"218",2010,8.21,90,219.205795546016,29550,"K"
"219",2010,32.72,2810,389.751600745512,29550,"J"
"220",2010,16.15,2981,389.751600745512,29550,"J"
"221",2010,NA,7,219.205795546016,29550,"K"
"222",2010,7.42,22,172.719019206467,29550,"K"
"223",2010,2.72,1,219.205795546016,29550,"I"
"224",2010,1.81,246,389.751600745512,29550,"K"
"225",2010,28.32,63,224.437468799088,29550,"J"
"226",2010,NA,4,224.437468799088,29550,"K"
"227",2010,3.57,18,224.437468799088,29550,"K"
"228",2010,3.17,6,265.691445675385,29550,"K"
"229",2010,NA,5,224.437468799088,29550,"K"
"230",2010,5.46,16,224.437468799088,29550,"K"
"231",2010,10.44,20,224.437468799088,29550,"K"
"232",2010,1.67,10,350.437687168855,29550,"K"
"329",2011,7.76,47,719.383250930221,30392,"K"
"330",2011,5.47,7,472.13390610716,30392,"K"
"331",2011,94.72,27,719.383250930221,30392,"C"
"332",2011,8.18,27,745.484787159199,30392,"J"
"333",2011,1.33,27,745.484787159199,30392,"K"
"334",2011,3.65,8,719.383250930221,30392,"H"
"335",2011,1.39,23,709.961594409254,30392,"K"
"336",2011,3.85,32,719.383250930221,30392,"H"
"337",2011,29.13,61,408.536202514218,30392,"J"
"338",2011,29.16,28,709.961594409254,30392,"H"
"339",2011,100,12,719.383250930221,30392,"C"
"340",2011,5.85,39,719.383250930221,30392,"I"
"341",2011,NA,13,719.383250930221,30392,"J"
"342",2011,43.63,8,745.484787159199,30392,"G"
"343",2011,1.47,1908,440.698442860509,30392,"K"
"344",2011,10.02,20,213.619029151315,30392,"K"
"345",2011,33.78,2722,440.698442860509,30392,"I"
"346",2011,10.87,76,719.383250930221,30392,"J"
"347",2011,27.82,20,408.536202514218,30392,"K"
"348",2011,5.27,1899,440.698442860509,30392,"K"
"349",2011,7.54,14,719.383250930221,30392,"K"
"350",2011,13.8,42,719.383250930221,30392,"K"
"351",2011,NA,24,719.383250930221,30392,"K"
"352",2011,35.65,34,719.383250930221,30392,"F"
"353",2011,11.94,6,719.383250930221,30392,"K"
"354",2011,6.25,5324,440.698442860509,30392,"K"
"355",2011,2.8,9,745.484787159199,30392,"I"
"356",2011,7.36,1354,440.698442860509,30392,"J"
"357",2011,NA,5,719.383250930221,30392,"K"
"358",2011,54.89,36,745.484787159199,30392,"E"
"359",2011,3.77,5,709.961594409254,30392,"K"
"360",2011,1.36,310,440.698442860509,30392,"K"
"361",2011,11.94,90,526.416192463409,30392,"K"
"362",2011,7.8,36,745.484787159199,30392,"K"
"363",2011,1.78,675,440.698442860509,30392,"K"
"364",2011,16.6,65,719.383250930221,30392,"J"
"365",2011,5,10,207.486192019071,30392,"K"
"366",2011,4.04,6,719.383250930221,30392,"J"
"367",2011,7.28,105,207.486192019071,30392,"K"
"368",2011,1.85,55,745.484787159199,30392,"K"
"369",2011,5.45,25,745.484787159199,30392,"G"
"370",2011,8.44,81,526.416192463409,30392,"K"
"371",2011,19.73,50,526.416192463409,30392,"J"
"372",2011,1.45,46,526.416192463409,30392,"K"
"373",2011,3.46,23,526.416192463409,30392,"K"
"374",2011,8.49,69,526.416192463409,30392,"K"
"375",2011,4.97,40,526.416192463409,30392,"K"
"376",2011,20,45,719.383250930221,30392,"K"
"377",2011,8.33,17,719.383250930221,30392,"K"
"378",2011,42.47,47,526.416192463409,30392,"F"
"379",2011,3.55,40,526.416192463409,30392,"K"
"380",2011,5.37,25,526.416192463409,30392,"K"
"381",2011,3.11,1807,440.698442860509,30392,"K"
"382",2011,100,15,719.383250930221,30392,"E"
"383",2011,4.6,58,719.383250930221,30392,"H"
"384",2011,5.1,5,283.505616103203,30392,"K"
"385",2011,5.97,8,719.383250930221,30392,"K"
"386",2011,4.39,64,283.505616103203,30392,"K"
"387",2011,15.08,40,283.505616103203,30392,"K"
"388",2011,1.78,246,440.698442860509,30392,"K"
"389",2011,33.37,93,213.619029151315,30392,"K"
"390",2011,10.46,42,526.416192463409,30392,"K"
"391",2011,4.34,36,213.619029151315,30392,"K"
"392",2011,8.94,36,245.520532200943,30392,"K"
"393",2011,16.47,2880,440.698442860509,30392,"J"
"394",2011,52.91,74,508.992180313632,30392,"F"
"395",2011,NA,15,508.992180313632,30392,"K"
"396",2011,4.39,70,719.383250930221,30392,"J"
"397",2011,1.14,15,207.588937093275,30392,"K"
"398",2011,33.77,168,278.768311879247,30392,"I"
"399",2011,4.7,5,207.588937093275,30392,"K"
"400",2011,43.63,40,745.484787159199,30392,"E"
"401",2011,8.33,89,719.383250930221,30392,"J"
