,Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Lowest_Ranking,Score,Ranking_Scores,Media_Impact,GDP,Population,Student_Population,GDP_Per_Person,X1A_Number,Ranking_Percentage,University_Name_Pinyin,Distance,Plan_Number_Total,New_Label,Lowest,Last_Ranking,Average_Ranking
0,3,上海交通大学,10248,2015,1,上海,上海交通大学,25,197,683,81.08,0.2761310452,2356094,2426.0,75.4,971.1846661171,51000,0.0038627451,shanghaijiaotongdaxue,1452.0,105.0,4.0,670.0,192.0,282.0
1,3,上海交通大学,19248,2013,1,上海,上海交通大学医学,8,479,666,47.62,0.1656934307,2018172,2380.43,72.7,847.8182513242999,40420,0.011850568999999998,shanghaijiaotongdaxue,1452.0,176.0,3.0,656.0,1036.0,1376.5
2,3,上海交通大学,10248,2011,1,上海,上海交通大学,40,284,654,43.63,0.2465587045,1716598,2302.66,65.5,745.4847871592,30392,0.0093445644,shanghaijiaotongdaxue,1452.0,115.0,3.0,686.0,351.0,351.0
3,13,上海交通大学,19248,2014,1,上海,上海交通大学医学,7,3727,630,79.72,0.2662337662,2160212,2415.15,75.6,894.4421671532001,43106,0.0864612815,shanghaijiaotongdaxue,1452.0,631.0,5.0,647.0,479.0,1077.3333333333333
6,2,上海交通大学,10248,2014,0,上海,上海交通大学,1,78,654,79.72,0.2662337662,2160212,2415.15,75.6,894.4421671532001,14000,0.0055714286,shanghaijiaotongdaxue,1452.0,25.0,2.0,664.0,45.0,162.66666666666666
7,2,上海交通大学,10248,2013,0,上海,上海交通大学,1,45,664,47.62,0.1656934307,2018172,2380.43,72.7,847.8182513242999,12924,0.0034818941999999998,shanghaijiaotongdaxue,1452.0,23.0,2.0,638.0,403.0,221.5
8,2,上海交通大学,10248,2014,1,上海,上海交通大学,25,192,670,79.72,0.2662337662,2160212,2415.15,75.6,894.4421671532001,43106,0.0044541363,shanghaijiaotongdaxue,1452.0,109.0,4.0,653.0,274.0,304.5
9,2,上海交通大学,10248,2013,1,上海,上海交通大学,43,274,672,47.62,0.1656934307,2018172,2380.43,72.7,847.8182513242999,40420,0.0067788224,shanghaijiaotongdaxue,1452.0,168.0,3.0,652.0,309.0,314.6666666666667
10,6,上海交通大学,10248,2012,0,上海,上海交通大学,1,403,638,42.52,0.1655589124,1919569,2347.46,69.2,817.7217077181,10000,0.0403,shanghaijiaotongdaxue,1452.0,97.0,2.0,654.0,40.0,40.0
11,1,上海交通大学,10248,2015,0,上海,上海交通大学,1,39,657,81.08,0.2761310452,2356094,2426.0,75.4,971.1846661171,16964,0.0022989861,shanghaijiaotongdaxue,1452.0,5.0,2.0,654.0,78.0,141.5
12,2,上海交通大学,10248,2012,1,上海,上海交通大学,40,309,671,42.52,0.1655589124,1919569,2347.46,69.2,817.7217077181,29207,0.010579655600000001,shanghaijiaotongdaxue,1452.0,101.0,2.0,634.0,284.0,317.5
14,14,上海外国语大学,10271,2013,0,上海,上海外国语大学,4,3021,618,2.53,0.027980535299999998,2018172,2380.43,72.7,847.8182513242999,12924,0.23375116059999998,shanghaiwaiguoyudaxue,1466.0,1737.0,14.0,625.0,1116.0,846.3333333333335
15,18,上海外国语大学,10271,2011,1,上海,上海外国语大学,9,5560,611,2.8,0.0293927126,1716598,2302.66,65.5,745.4847871592,30392,0.18294287969999998,shanghaiwaiguoyudaxue,1466.0,681.0,18.0,663.0,3524.0,3524.0
16,42,上海外国语大学,10271,2014,1,上海,上海外国语大学,16,40538,562,61.04,0.0,2160212,2415.15,75.6,894.4421671532001,43106,0.9404259268,shanghaiwaiguoyudaxue,1466.0,32994.0,42.0,630.0,4868.0,4830.0
17,10,上海外国语大学,10271,2012,0,上海,上海外国语大学,5,1116,626,2.86,0.0283987915,1919569,2347.46,69.2,817.7217077181,10000,0.1116,shanghaiwaiguoyudaxue,1466.0,215.0,10.0,626.0,717.0,711.5
18,18,上海外国语大学,10271,2012,1,上海,上海外国语大学,10,5368,630,2.86,0.0283987915,1919569,2347.46,69.2,817.7217077181,29207,0.1837915568,shanghaiwaiguoyudaxue,1466.0,718.0,18.0,597.0,5560.0,4542.0
20,20,上海外国语大学,10271,2015,1,上海,上海外国语大学,10,7182,638,62.44,0.0,2356094,2426.0,75.4,971.1846661171,51000,0.1408235294,shanghaiwaiguoyudaxue,1466.0,3343.0,20.0,562.0,40538.0,11971.6
21,12,上海外国语大学,10271,2015,0,上海,上海外国语大学,6,1172,621,62.44,0.0,2356094,2426.0,75.4,971.1846661171,16964,0.0690874794,shanghaiwaiguoyudaxue,1466.0,158.0,12.0,626.0,1075.0,1327.0
22,14,上海外国语大学,10271,2013,1,上海,上海外国语大学,8,4868,630,2.53,0.027980535299999998,2018172,2380.43,72.7,847.8182513242999,40420,0.12043542800000001,shanghaiwaiguoyudaxue,1466.0,784.0,20.0,630.0,5368.0,4817.333333333333
23,10,上海外国语大学,10271,2011,0,上海,上海外国语大学,9,717,626,2.8,0.0293927126,1716598,2302.66,65.5,745.4847871592,10919,0.06566535400000001,shanghaiwaiguoyudaxue,1466.0,183.0,10.0,637.0,706.0,706.0
24,9,上海外国语大学,10271,2014,0,上海,上海外国语大学,8,1075,626,61.04,0.0,2160212,2415.15,75.6,894.4421671532001,14000,0.0767857143,shanghaiwaiguoyudaxue,1466.0,217.0,9.0,618.0,3021.0,1390.0
25,30,上海大学,10280,2012,1,上海,上海大学,22,16895,603,8.16,0.0719033233,1919569,2347.46,69.2,817.7217077181,29207,0.5784572192,shanghaidaxue,1473.0,17241.0,30.0,579.0,13602.0,15599.0
26,30,上海大学,10280,2012,1,上海,上海大学,22,16895,603,8.16,0.0719033233,1919569,2347.46,69.2,817.7217077181,29207,0.5784572192,shanghaidaxue,1473.0,17241.0,30.0,416.0,13602.0,15599.0
28,27,上海大学,10280,2014,1,上海,上海大学,23,18425,591,63.49,0.0761363636,2160212,2415.15,75.6,894.4421671532001,43106,0.42743469590000005,shanghaidaxue,1473.0,10203.0,27.0,580.0,17408.0,16375.25
29,13,上海大学,10280,2014,0,上海,上海大学,2,1876,619,63.49,0.0761363636,2160212,2415.15,75.6,894.4421671532001,14000,0.134,shanghaidaxue,1473.0,1174.0,13.0,615.0,3664.0,4152.75
30,17,上海大学,10280,2011,0,上海,上海大学,3,2801,607,8.18,0.0615384615,1716598,2302.66,65.5,745.4847871592,10919,0.2565253228,shanghaidaxue,1473.0,333.0,18.0,613.0,4252.0,4252.0
31,24,上海大学,10280,2011,1,上海,上海大学,27,13602,591,8.18,0.0615384615,1716598,2302.66,65.5,745.4847871592,30392,0.4475519874,shanghaidaxue,1473.0,1691.0,29.0,635.0,17596.0,17596.0
32,22,上海大学,10280,2012,0,上海,上海大学,3,5894,600,8.16,0.0719033233,1919569,2347.46,69.2,817.7217077181,10000,0.5894,shanghaidaxue,1473.0,2393.0,22.0,607.0,2801.0,3526.5
33,22,上海大学,10280,2012,0,上海,上海大学,3,5894,600,8.16,0.0719033233,1919569,2347.46,69.2,817.7217077181,10000,0.5894,shanghaidaxue,1473.0,2393.0,22.0,465.0,2801.0,3526.5
