Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance
1,上海交通大学,19248,2015,理科,上海,上海交通大学医学,5,81.08,0.2761310452,2356094,2426,971.1846661171,1452
4,上海交通大学,10248,2015,理科,上海,上海交通大学,25,81.08,0.2761310452,2356094,2426,971.1846661171,1452
8,上海交通大学,19248,2013,理科,上海,上海交通大学医学,8,47.62,0.1656934307,2018172,2380.43,847.8182513243,1452
11,上海交通大学,19248,2012,理科,上海,上海交通大学医,8,42.52,0.1655589124,1919569,2347.46,817.7217077181,1452
15,上海交通大学,19248,2011,理科,上海,上海交通大学医学,8,43.63,0.2465587045,1716598,2302.66,745.4847871592,1452
22,上海交通大学,10248,2011,理科,上海,上海交通大学,40,43.63,0.2465587045,1716598,2302.66,745.4847871592,1452
30,上海交通大学,19248,2014,理科,上海,上海交通大学医学,7,79.72,0.2662337662,2160212,2415.15,894.4421671532,1452
38,上海交通大学,10248,2011,文科,上海,上海交通大学,1,43.63,0.2465587045,1716598,2302.66,745.4847871592,1452
44,上海交通大学,10248,2010,理科,上海,上海交通大学,43,43.47,0.1547325103,1504645,2210.2841277426,680.7473216291,1452
55,上海交通大学,10248,2014,文科,上海,上海交通大学,1,79.72,0.2662337662,2160212,2415.15,894.4421671532,1452
66,上海交通大学,10248,2013,文科,上海,上海交通大学,1,47.62,0.1656934307,2018172,2380.43,847.8182513243,1452
81,上海交通大学,10248,2014,理科,上海,上海交通大学,25,79.72,0.2662337662,2160212,2415.15,894.4421671532,1452
88,上海交通大学,10248,2013,理科,上海,上海交通大学,43,47.62,0.1656934307,2018172,2380.43,847.8182513243,1452
99,上海交通大学,10248,2012,文科,上海,上海交通大学,1,42.52,0.1655589124,1919569,2347.46,817.7217077181,1452
110,上海交通大学,10248,2015,文科,上海,上海交通大学,1,81.08,0.2761310452,2356094,2426,971.1846661171,1452
121,上海交通大学,10248,2012,理科,上海,上海交通大学,40,42.52,0.1655589124,1919569,2347.46,817.7217077181,1452
