,Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance,Lowest,Highest,ave,Plan,NO
0,4,上海交通大学,10248,2015,理科,上海,上海交通大学,25,81.08,0.2761310452,2356094,2426.0,971.1846661171,1452.0,670.0,676.0,668.0,,第一批
1,8,上海交通大学,19248,2013,理科,上海,上海交通大学医学,8,47.62,0.1656934307,2018172,2380.43,847.8182513242999,1452.0,656.0,675.0,663.0,8.0,第一批
2,15,上海交通大学,19248,2011,理科,上海,上海交通大学医学,8,43.63,0.2465587045,1716598,2302.66,745.4847871592,1452.0,630.0,662.0,650.0,13.0,第一批
3,22,上海交通大学,10248,2011,理科,上海,上海交通大学,40,43.63,0.2465587045,1716598,2302.66,745.4847871592,1452.0,686.0,713.0,693.0,47.0,第一批
4,30,上海交通大学,19248,2014,理科,上海,上海交通大学医学,7,79.72,0.2662337662,2160212,2415.15,894.4421671532001,1452.0,647.0,678.0,668.0,8.0,第一批
5,38,上海交通大学,10248,2011,文科,上海,上海交通大学,1,43.63,0.2465587045,1716598,2302.66,745.4847871592,1452.0,622.0,653.0,639.0,5.0,第一批
6,44,上海交通大学,10248,2010,理科,上海,上海交通大学,43,43.47,0.1547325103,1504645,2210.2841277426,680.7473216291,1452.0,633.0,660.0,650.0,96.0,第一批
7,44,上海交通大学,10248,2010,理科,上海,上海交通大学,43,43.47,0.1547325103,1504645,2210.2841277426,680.7473216291,1452.0,608.0,636.0,627.0,7.0,提前批
8,55,上海交通大学,10248,2014,文科,上海,上海交通大学,1,79.72,0.2662337662,2160212,2415.15,894.4421671532001,1452.0,664.0,664.0,664.0,1.0,第一批
9,66,上海交通大学,10248,2013,文科,上海,上海交通大学,1,47.62,0.1656934307,2018172,2380.43,847.8182513242999,1452.0,638.0,638.0,638.0,1.0,第一批
10,81,上海交通大学,10248,2014,理科,上海,上海交通大学,25,79.72,0.2662337662,2160212,2415.15,894.4421671532001,1452.0,653.0,680.0,672.0,46.0,第一批
11,88,上海交通大学,10248,2013,理科,上海,上海交通大学,43,47.62,0.1656934307,2018172,2380.43,847.8182513242999,1452.0,652.0,682.0,671.0,59.0,第一批
12,99,上海交通大学,10248,2012,文科,上海,上海交通大学,1,42.52,0.1655589124,1919569,2347.46,817.7217077181,1452.0,654.0,654.0,654.0,1.0,第一批
13,110,上海交通大学,10248,2015,文科,上海,上海交通大学,1,81.08,0.2761310452,2356094,2426.0,971.1846661171,1452.0,654.0,655.0,654.0,,第一批
14,121,上海交通大学,10248,2012,理科,上海,上海交通大学,40,42.52,0.1655589124,1919569,2347.46,817.7217077181,1452.0,634.0,665.0,652.0,47.0,第一批
15,147,上海外国语大学,10271,2010,理科,上海,上海外国语大学,8,2.94,0.032263374500000004,1504645,2210.2841277426,680.7473216291,1466.0,584.0,613.0,592.0,9.0,第一批
16,148,上海外国语大学,10271,2013,文科,上海,上海外国语大学,4,2.53,0.027980535299999998,2018172,2380.43,847.8182513242999,1466.0,625.0,641.0,634.0,5.0,第一批
17,155,上海外国语大学,10271,2011,理科,上海,上海外国语大学,9,2.8,0.0293927126,1716598,2302.66,745.4847871592,1466.0,663.0,679.0,668.0,9.0,第一批
18,168,上海外国语大学,10271,2014,理科,上海,上海外国语大学,16,61.04,0.0,2160212,2415.15,894.4421671532001,1466.0,630.0,640.0,635.0,8.0,第一批
19,181,上海外国语大学,10271,2012,文科,上海,上海外国语大学,5,2.86,0.0283987915,1919569,2347.46,817.7217077181,1466.0,626.0,636.0,631.0,9.0,第一批
20,189,上海外国语大学,10271,2012,理科,上海,上海外国语大学,10,2.86,0.0283987915,1919569,2347.46,817.7217077181,1466.0,597.0,632.0,618.0,9.0,第一批
21,201,上海外国语大学,10271,2010,文科,上海,上海外国语大学,8,2.94,0.032263374500000004,1504645,2210.2841277426,680.7473216291,1466.0,523.0,577.0,551.0,8.0,第一批
22,213,上海外国语大学,10271,2015,理科,上海,上海外国语大学,10,62.44,0.0,2356094,2426.0,971.1846661171,1466.0,562.0,,611.0,,第一批
