,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Last_Lowest_Ranking,Label,Lowest,Highest,ave,Plan,NO
0,10248,上海交通大学,1452,上海,2356094,2426,971.1846661171,2015,81.08,0.2761310452,理科,25,192,2,670,676,668,,第一批
1,10248,上海交通大学,1452,上海,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,理科,40,351,1,686,713,693,47,第一批
2,19248,上海交通大学医学,1452,上海,2160212,2415.15,894.4421671532,2014,79.72,0.2662337662,理科,7,479,12,647,678,668,8,第一批
3,10248,上海交通大学,1452,上海,2160212,2415.15,894.4421671532,2014,79.72,0.2662337662,文科,1,45,2,664,664,664,1,第一批
4,10248,上海交通大学,1452,上海,2018172,2380.43,847.8182513243,2013,47.62,0.1656934307,文科,1,403,2,638,638,638,1,第一批
5,10248,上海交通大学,1452,上海,2160212,2415.15,894.4421671532,2014,79.72,0.2662337662,理科,25,274,1,653,680,672,46,第一批
6,10248,上海交通大学,1452,上海,2018172,2380.43,847.8182513243,2013,47.62,0.1656934307,理科,43,309,2,652,682,671,59,第一批
7,10248,上海交通大学,1452,上海,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,文科,1,40,5,654,654,654,1,第一批
8,10248,上海交通大学,1452,上海,2356094,2426,971.1846661171,2015,81.08,0.2761310452,文科,1,78,1,654,655,654,,第一批
9,10248,上海交通大学,1452,上海,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,理科,40,284,1,634,665,652,47,第一批
10,10271,上海外国语大学,1466,上海,2018172,2380.43,847.8182513243,2013,2.53,0.0279805353,文科,4,1116,12,625,641,634,5,第一批
11,10271,上海外国语大学,1466,上海,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,理科,9,3524,12,663,679,668,9,第一批
12,10271,上海外国语大学,1466,上海,2160212,2415.15,894.4421671532,2014,61.04,0,理科,16,4868,30,630,640,635,8,第一批
13,10271,上海外国语大学,1466,上海,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,文科,5,717,9,626,636,631,9,第一批
14,10271,上海外国语大学,1466,上海,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,理科,10,5560,11,597,632,618,9,第一批
15,10271,上海外国语大学,1466,上海,2356094,2426,971.1846661171,2015,62.44,0,理科,10,40538,16,562,,611,,第一批
16,10271,上海外国语大学,1466,上海,2356094,2426,971.1846661171,2015,62.44,0,文科,6,1075,11,626,,631,,第一批
17,10271,上海外国语大学,1466,上海,2018172,2380.43,847.8182513243,2013,2.53,0.0279805353,理科,8,5368,10,630,646,637,10,第一批
18,10271,上海外国语大学,1466,上海,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,文科,9,706,8,637,648,641,9,第一批
19,10271,上海外国语大学,1466,上海,2160212,2415.15,894.4421671532,2014,61.04,0,文科,8,3021,8,618,640,628,4,第一批
20,10280,上海大学,1473,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,理科,22,13602,19,579,609,595,28,第一批
21,10280,上海大学,1473,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,理科,22,13602,19,416,530,452,11,专科
22,10280,上海大学,1473,上海,2160212,2415.15,894.4421671532,2014,63.49,0.0761363636,理科,23,17408,22,580,614,603,42,第一批
23,10280,上海大学,1473,上海,2160212,2415.15,894.4421671532,2014,63.49,0.0761363636,文科,2,3664,10,615,619,616,3,第一批
24,10280,上海大学,1473,上海,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,文科,3,4252,14,613,618,616,6,第一批
25,10280,上海大学,1473,上海,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,理科,27,17596,16,635,664,640,27,第一批
26,10280,上海大学,1473,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,文科,3,2801,17,607,611,609,3,第一批
27,10280,上海大学,1473,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,文科,3,2801,17,465,526,499,6,专科
28,10280,上海大学,1473,上海,2018172,2380.43,847.8182513243,2013,9.21,0.0703163017,文科,3,5894,13,600,616,606,3,第一批
29,10280,上海大学,1473,上海,2018172,2380.43,847.8182513243,2013,9.21,0.0703163017,文科,3,5894,13,485,505,495,5,专科
30,10280,上海大学,1473,上海,2018172,2380.43,847.8182513243,2013,9.21,0.0703163017,理科,40,16895,19,587,634,609,23,第一批
31,10280,上海大学,1473,上海,2018172,2380.43,847.8182513243,2013,9.21,0.0703163017,理科,40,16895,19,482,510,495,5,专科
32,10280,上海大学,1473,上海,2356094,2426,971.1846661171,2015,64.03,0.0673946958,理科,10,18425,22,591,,596,,第一批
33,10254,上海海事大学,1474,上海,2356094,2426,971.1846661171,2015,61.8,0,理科,127,43106,34,,,563,,第一批
34,10254,上海海事大学,1474,上海,2356094,2426,971.1846661171,2015,61.8,0,文科,34,14000,23,,,587,,第一批
35,10252,上海理工大学,1484,上海,1716598,2302.66,745.4847871592,2011,1.85,0,理科,55,22132,20,629,650,635,51,第一批
36,10252,上海理工大学,1484,上海,2160212,2415.15,894.4421671532,2014,61.15,0,理科,59,27201,26,575,611,592,70,第一批
37,10252,上海理工大学,1484,上海,2018172,2380.43,847.8182513243,2013,1.78,0,理科,69,19247,23,599,613,603,57,第一批
38,10252,上海理工大学,1484,上海,1919569,2347.46,817.7217077181,2012,1.89,0,理科,55,19761,20,562,599,585,57,第一批
39,10252,上海理工大学,1484,上海,2356094,2426,971.1846661171,2015,62.83,0,理科,59,26375,26,579,,585,,第一批
40,10272,上海财经大学,1473,上海,2160212,2415.15,894.4421671532,2014,62.15,0.0733766234,文科,16,818,8,636,660,647,13,第一批
41,10272,上海财经大学,1473,上海,2018172,2380.43,847.8182513243,2013,5.15,0.0695863747,文科,13,702,7,626,641,635,11,第一批
42,10272,上海财经大学,1473,上海,2160212,2415.15,894.4421671532,2014,62.15,0.0733766234,理科,37,2583,9,624,667,650,32,第一批
43,10272,上海财经大学,1473,上海,1919569,2347.46,817.7217077181,2012,5.92,0.067673716,理科,25,1222,6,616,655,637,26,第一批
44,10272,上海财经大学,1473,上海,1919569,2347.46,817.7217077181,2012,5.92,0.067673716,文科,11,479,7,617,639,632,11,第一批
45,10272,上海财经大学,1473,上海,1716598,2302.66,745.4847871592,2011,5.45,0.0744939271,文科,10,576,7,639,653,644,9,第一批
46,10272,上海财经大学,1473,上海,2356094,2426,971.1846661171,2015,64.02,0.0794071763,理科,38,1697,9,644,,651,,第一批
47,10272,上海财经大学,1473,上海,1716598,2302.66,745.4847871592,2011,5.45,0.0744939271,理科,25,1633,6,654,685,675,26,第一批
48,10272,上海财经大学,1473,上海,2018172,2380.43,847.8182513243,2013,5.15,0.0695863747,理科,32,1354,8,640,669,657,25,第一批
49,10272,上海财经大学,1473,上海,2356094,2426,971.1846661171,2015,64.02,0.0794071763,文科,16,1077,8,628,,634,,第一批
50,10224,东北农业大学,3301,黑龙江,1503938,3833,392.3657709366,2015,62.94,0,文科,6,14000,26,576,,581,,第一批
51,10224,东北农业大学,3301,黑龙江,1438293,3835.02,375.0418511507,2014,61.33,0,文科,12,12924,21,585,592,588,21,第一批
52,10224,东北农业大学,3301,黑龙江,1438293,3835.02,375.0418511507,2014,61.33,0,理科,34,40420,31,541,584,564,60,第一批
53,10224,东北农业大学,3301,黑龙江,1503938,3833,392.3657709366,2015,62.94,0,理科,24,43106,34,551,,554,,第一批
54,19145,东北大学秦皇岛分校,2760,河北,2039426,7193.6,283.5056161032,2011,15.08,0.0393522267,理科,40,28230,24,622,633,626,20,第一批
55,19145,东北大学秦皇岛分校,2760,河北,2451576,7240.51,338.5916185462,2012,14.97,0.032326284,理科,46,30392,25,569,579,573,18,第一批
56,10145,东北大学,2760,辽宁,2222670,4383,507.1115674196,2012,14.97,0.032326284,理科,92,23179,22,576,591,581,52,第一批
57,10145,东北大学,2760,辽宁,1845727,4375,421.8804571429,2011,15.08,0.0393522267,理科,50,22866,21,628,644,632,41,第一批
58,10145,东北大学,2760,辽宁,2862658,4391,651.9375996356,2015,67,0.035725429,理科,114,24234,24,582,613,584,,第一批
59,19145,东北大学秦皇岛分校,2760,河北,2830141,7332.61,385.9663885029,2014,65.8,0.0402597403,理科,67,40420,31,574,608,579,45,第一批
60,19145,东北大学秦皇岛分校,2760,河北,2657501,7287.51,364.6651599792,2013,13.67,0.0316301703,理科,60,29207,26,585,623,591,15,第一批
61,10145,东北大学,2760,辽宁,2484643,4389,566.1068580542,2013,13.67,0.0316301703,理科,119,23386,22,592,612,599,92,第一批
62,10145,东北大学,2760,辽宁,2707765,4390,616.8029612756,2014,65.8,0.0402597403,理科,126,23508,25,590,626,596,119,第一批
63,10200,东北师范大学,3052,吉林,1193924,2750.4,434.0910413031,2013,12.73,0.0250608273,理科,22,29207,26,585,593,590,4,第一批
64,10200,东北师范大学,3052,吉林,866758,2746.6,315.5748925945,2011,10.81,0,文科,10,10464,23,597,603,600,4,第一批
65,10200,东北师范大学,3052,吉林,866758,2746.6,315.5748925945,2011,10.81,0,文科,10,10464,23,,616,610,5,不详
66,10200,东北师范大学,3052,吉林,1298146,2751.28,471.833473874,2014,65.27,0.0451298701,理科,17,40420,27,574,591,582,22,第一批
67,10200,东北师范大学,3052,吉林,1056883,2749.41,384.4035629462,2012,11.08,0.0248338369,文科,4,10919,21,581,589,583,7,第一批
68,10200,东北师范大学,3052,吉林,866758,2746.6,315.5748925945,2011,10.81,0,理科,9,26157,24,624,632,628,6,第一批
69,10200,东北师范大学,3052,吉林,866758,2746.6,315.5748925945,2011,10.81,0,理科,9,26157,24,,646,638,4,不详
70,10200,东北师范大学,3052,吉林,1056883,2749.41,384.4035629462,2012,11.08,0.0248338369,理科,8,30392,25,568,580,573,3,第一批
71,10200,东北师范大学,3052,吉林,1193924,2750.4,434.0910413031,2013,12.73,0.0250608273,文科,13,10000,19,590,596,592,3,第一批
72,10200,东北师范大学,3052,吉林,1298146,2751.28,471.833473874,2014,65.27,0.0451298701,文科,13,10176,20,594,612,598,12,第一批
73,10200,东北师范大学,3052,吉林,1380381,2752,501.5919331395,2015,66.34,0.0453978159,文科,17,12062,23,,,586,,第一批
74,10200,东北师范大学,3052,吉林,1380381,2752,501.5919331395,2015,66.34,0.0453978159,理科,25,29922,31,,,578,,第一批
75,10225,东北林业大学,3294,黑龙江,1036860,3833.35,270.4840413737,2011,5.11,0,文科,3,6129,23,606,606,606,1,第一批
76,10225,东北林业大学,3294,黑龙江,1438293,3835.02,375.0418511507,2014,61.89,0,理科,16,40420,31,597,597,597,1,第一批
77,10225,东北林业大学,3294,黑龙江,1503938,3833,392.3657709366,2015,63.42,0,理科,24,43106,34,568,,571,,第一批
78,10225,东北林业大学,3294,黑龙江,1036860,3833.35,270.4840413737,2011,5.11,0,理科,19,29550,24,567,595,572,143,第一批
79,10173,东北财经大学,2246,辽宁,2862658,4391,651.9375996356,2015,62.69,0,文科,16,7889,19,,,602,,第一批
80,10173,东北财经大学,2246,辽宁,2222670,4383,507.1115674196,2012,3.18,0,文科,21,10124,17,581,613,597,19,第一批
81,10173,东北财经大学,2246,辽宁,2707765,4390,616.8029612756,2014,61.29,0,理科,31,26520,25,586,623,599,31,第一批
82,10173,东北财经大学,2246,辽宁,1845727,4375,421.8804571429,2011,3.38,0,文科,20,4033,23,614,628,619,20,第一批
83,10173,东北财经大学,2246,辽宁,2222670,4383,507.1115674196,2012,3.18,0,理科,19,19301,19,568,608,591,20,第一批
84,10173,东北财经大学,2246,辽宁,2707765,4390,616.8029612756,2014,61.29,0,文科,29,12924,17,594,617,606,22,第一批
