Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label
3,19248,上海交通大学医学,1452,上海,2356094,2426,971.1846661171,2015,81.08,0.2761310452,理科,5,3
2,10248,上海交通大学,1452,上海,2356094,2426,971.1846661171,2015,81.08,0.2761310452,理科,25,2
3,19248,上海交通大学医学,1452,上海,2018172,2380.43,847.8182513243,2013,47.62,0.1656934307,理科,8,3
5,19248,上海交通大学医,1452,上海,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,理科,8,5
7,19248,上海交通大学医学,1452,上海,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,理科,8,7
1,10248,上海交通大学,1452,上海,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,理科,40,1
12,19248,上海交通大学医学,1452,上海,2160212,2415.15,894.4421671532,2014,79.72,0.2662337662,理科,7,12
2,10248,上海交通大学,1452,上海,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,文科,1,2
2,10248,上海交通大学,1452,上海,1504645,2210.2841277426,680.7473216291,2010,43.47,0.1547325103,理科,43,2
2,10248,上海交通大学,1452,上海,2160212,2415.15,894.4421671532,2014,79.72,0.2662337662,文科,1,2
2,10248,上海交通大学,1452,上海,2018172,2380.43,847.8182513243,2013,47.62,0.1656934307,文科,1,2
1,10248,上海交通大学,1452,上海,2160212,2415.15,894.4421671532,2014,79.72,0.2662337662,理科,25,1
2,10248,上海交通大学,1452,上海,2018172,2380.43,847.8182513243,2013,47.62,0.1656934307,理科,43,2
5,10248,上海交通大学,1452,上海,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,文科,1,5
1,10248,上海交通大学,1452,上海,2356094,2426,971.1846661171,2015,81.08,0.2761310452,文科,1,1
1,10248,上海交通大学,1452,上海,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,理科,40,1
10,10271,上海外国语大学,1466,上海,1504645,2210.2841277426,680.7473216291,2010,2.94,0.0322633745,理科,8,10
12,10271,上海外国语大学,1466,上海,2018172,2380.43,847.8182513243,2013,2.53,0.0279805353,文科,4,12
12,10271,上海外国语大学,1466,上海,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,理科,9,12
30,10271,上海外国语大学,1466,上海,2160212,2415.15,894.4421671532,2014,61.04,0,理科,16,30
9,10271,上海外国语大学,1466,上海,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,文科,5,9
11,10271,上海外国语大学,1466,上海,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,理科,10,11
6,10271,上海外国语大学,1466,上海,1504645,2210.2841277426,680.7473216291,2010,2.94,0.0322633745,文科,8,6
16,10271,上海外国语大学,1466,上海,2356094,2426,971.1846661171,2015,62.44,0,理科,10,16
11,10271,上海外国语大学,1466,上海,2356094,2426,971.1846661171,2015,62.44,0,文科,6,11
10,10271,上海外国语大学,1466,上海,2018172,2380.43,847.8182513243,2013,2.53,0.0279805353,理科,8,10
8,10271,上海外国语大学,1466,上海,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,文科,9,8
8,10271,上海外国语大学,1466,上海,2160212,2415.15,894.4421671532,2014,61.04,0,文科,8,8
19,10280,上海大学,1473,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,理科,22,19
20,10280,上海大学,1473,上海,1504645,2210.2841277426,680.7473216291,2010,7.78,0.0596707819,理科,25,20
22,10280,上海大学,1473,上海,2160212,2415.15,894.4421671532,2014,63.49,0.0761363636,理科,23,22
10,10280,上海大学,1473,上海,2160212,2415.15,894.4421671532,2014,63.49,0.0761363636,文科,2,10
14,10280,上海大学,1473,上海,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,文科,3,14
16,10280,上海大学,1473,上海,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,理科,27,16
17,10280,上海大学,1473,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,文科,3,17
13,10280,上海大学,1473,上海,2018172,2380.43,847.8182513243,2013,9.21,0.0703163017,文科,3,13
19,10280,上海大学,1473,上海,2018172,2380.43,847.8182513243,2013,9.21,0.0703163017,理科,40,19
14,10280,上海大学,1473,上海,1504645,2210.2841277426,680.7473216291,2010,7.78,0.0596707819,文科,5,14
22,10280,上海大学,1473,上海,2356094,2426,971.1846661171,2015,64.03,0.0673946958,理科,10,22
31,10254,上海海事大学,1474,上海,2160212,2415.15,894.4421671532,2014,60.53,0,理科,134,31
34,10254,上海海事大学,1474,上海,2356094,2426,971.1846661171,2015,61.8,0,理科,127,34
23,10254,上海海事大学,1474,上海,2356094,2426,971.1846661171,2015,61.8,0,文科,34,23
21,10254,上海海事大学,1474,上海,2160212,2415.15,894.4421671532,2014,60.53,0,文科,33,21
21,10264,上海海洋大学,1479,上海,2160212,2415.15,894.4421671532,2014,60.43,0,文科,26,21
34,10264,上海海洋大学,1479,上海,2356094,2426,971.1846661171,2015,61.84,0,理科,81,34
31,10264,上海海洋大学,1479,上海,2160212,2415.15,894.4421671532,2014,60.43,0,理科,81,31
26,10264,上海海洋大学,1479,上海,2356094,2426,971.1846661171,2015,61.84,0,文科,26,26
20,10252,上海理工大学,1484,上海,1716598,2302.66,745.4847871592,2011,1.85,0,理科,55,20
26,10252,上海理工大学,1484,上海,2160212,2415.15,894.4421671532,2014,61.15,0,理科,59,26
23,10252,上海理工大学,1484,上海,2018172,2380.43,847.8182513243,2013,1.78,0,理科,69,23
20,10252,上海理工大学,1484,上海,1919569,2347.46,817.7217077181,2012,1.89,0,理科,55,20
22,10252,上海理工大学,1484,上海,1504645,2210.2841277426,680.7473216291,2010,1.71,0,理科,50,22
26,10252,上海理工大学,1484,上海,2356094,2426,971.1846661171,2015,62.83,0,理科,59,26
8,10272,上海财经大学,1473,上海,2160212,2415.15,894.4421671532,2014,62.15,0.0733766234,文科,16,8
5,10272,上海财经大学,1473,上海,1504645,2210.2841277426,680.7473216291,2010,5.3,0.0781893004,文科,9,5
7,10272,上海财经大学,1473,上海,2018172,2380.43,847.8182513243,2013,5.15,0.0695863747,文科,13,7
9,10272,上海财经大学,1473,上海,2160212,2415.15,894.4421671532,2014,62.15,0.0733766234,理科,37,9
6,10272,上海财经大学,1473,上海,1919569,2347.46,817.7217077181,2012,5.92,0.067673716,理科,25,6
7,10272,上海财经大学,1473,上海,1919569,2347.46,817.7217077181,2012,5.92,0.067673716,文科,11,7
7,10272,上海财经大学,1473,上海,1716598,2302.66,745.4847871592,2011,5.45,0.0744939271,文科,10,7
9,10272,上海财经大学,1473,上海,2356094,2426,971.1846661171,2015,64.02,0.0794071763,理科,38,9
6,10272,上海财经大学,1473,上海,1716598,2302.66,745.4847871592,2011,5.45,0.0744939271,理科,25,6
