UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Last_Lowest_Ranking,Label
19248,上海交通大学医学,1452,上海,2356094,2426,971.1846661171,2015,81.08,0.2761310452,理科,5,3727,3
10248,上海交通大学,1452,上海,2356094,2426,971.1846661171,2015,81.08,0.2761310452,理科,25,192,2
10248,上海交通大学,1452,上海,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,理科,40,351,1
19248,上海交通大学医学,1452,上海,2160212,2415.15,894.4421671532,2014,79.72,0.2662337662,理科,7,479,12
10248,上海交通大学,1452,上海,2160212,2415.15,894.4421671532,2014,79.72,0.2662337662,文科,1,45,2
10248,上海交通大学,1452,上海,2018172,2380.43,847.8182513243,2013,47.62,0.1656934307,文科,1,403,2
10248,上海交通大学,1452,上海,2160212,2415.15,894.4421671532,2014,79.72,0.2662337662,理科,25,274,1
10248,上海交通大学,1452,上海,2018172,2380.43,847.8182513243,2013,47.62,0.1656934307,理科,43,309,2
10248,上海交通大学,1452,上海,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,文科,1,40,5
10248,上海交通大学,1452,上海,2356094,2426,971.1846661171,2015,81.08,0.2761310452,文科,1,78,1
10248,上海交通大学,1452,上海,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,理科,40,284,1
10271,上海外国语大学,1466,上海,2018172,2380.43,847.8182513243,2013,2.53,0.0279805353,文科,4,1116,12
10271,上海外国语大学,1466,上海,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,理科,9,3524,12
10271,上海外国语大学,1466,上海,2160212,2415.15,894.4421671532,2014,61.04,0,理科,16,4868,30
10271,上海外国语大学,1466,上海,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,文科,5,717,9
10271,上海外国语大学,1466,上海,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,理科,10,5560,11
10271,上海外国语大学,1466,上海,2356094,2426,971.1846661171,2015,62.44,0,理科,10,40538,16
10271,上海外国语大学,1466,上海,2356094,2426,971.1846661171,2015,62.44,0,文科,6,1075,11
10271,上海外国语大学,1466,上海,2018172,2380.43,847.8182513243,2013,2.53,0.0279805353,理科,8,5368,10
10271,上海外国语大学,1466,上海,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,文科,9,706,8
10271,上海外国语大学,1466,上海,2160212,2415.15,894.4421671532,2014,61.04,0,文科,8,3021,8
10280,上海大学,1473,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,理科,22,13602,19
10280,上海大学,1473,上海,2160212,2415.15,894.4421671532,2014,63.49,0.0761363636,理科,23,17408,22
10280,上海大学,1473,上海,2160212,2415.15,894.4421671532,2014,63.49,0.0761363636,文科,2,3664,10
10280,上海大学,1473,上海,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,文科,3,4252,14
10280,上海大学,1473,上海,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,理科,27,17596,16
10280,上海大学,1473,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,文科,3,2801,17
10280,上海大学,1473,上海,2018172,2380.43,847.8182513243,2013,9.21,0.0703163017,文科,3,5894,13
10280,上海大学,1473,上海,2018172,2380.43,847.8182513243,2013,9.21,0.0703163017,理科,40,16895,19
10280,上海大学,1473,上海,2356094,2426,971.1846661171,2015,64.03,0.0673946958,理科,10,18425,22
10254,上海海事大学,1474,上海,2356094,2426,971.1846661171,2015,61.8,0,理科,127,43106,34
10254,上海海事大学,1474,上海,2356094,2426,971.1846661171,2015,61.8,0,文科,34,14000,23
10264,上海海洋大学,1479,上海,2356094,2426,971.1846661171,2015,61.84,0,理科,81,43106,34
10264,上海海洋大学,1479,上海,2356094,2426,971.1846661171,2015,61.84,0,文科,26,14000,26
10252,上海理工大学,1484,上海,1716598,2302.66,745.4847871592,2011,1.85,0,理科,55,22132,20
10252,上海理工大学,1484,上海,2160212,2415.15,894.4421671532,2014,61.15,0,理科,59,27201,26
10252,上海理工大学,1484,上海,2018172,2380.43,847.8182513243,2013,1.78,0,理科,69,19247,23
10252,上海理工大学,1484,上海,1919569,2347.46,817.7217077181,2012,1.89,0,理科,55,19761,20
10252,上海理工大学,1484,上海,2356094,2426,971.1846661171,2015,62.83,0,理科,59,26375,26
10272,上海财经大学,1473,上海,2160212,2415.15,894.4421671532,2014,62.15,0.0733766234,文科,16,818,8
10272,上海财经大学,1473,上海,2018172,2380.43,847.8182513243,2013,5.15,0.0695863747,文科,13,702,7
10272,上海财经大学,1473,上海,2160212,2415.15,894.4421671532,2014,62.15,0.0733766234,理科,37,2583,9
