"","Year","Topic","X.1","X","Province","University_Name_Location","University_Name","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage"
"1",2010,"文科",1,1,"上海","复旦大学","复旦大学",15,89,55.83,0.452674897119342,1504645,2210.28412774259,61.5,680.747321629064,10869,0.0081884257981415
"2",2010,"文科",2,2,"上海","上海财经大学","上海财经大学",9,576,5.3,0.0781893004115226,1504645,2210.28412774259,61.5,680.747321629064,10869,0.0529947557272978
"3",2010,"文科",164,164,"湖北","中南财经政法大学","中南财经政法大学",100,3251,5.94,0.0448559670781893,1296110,5720,61.5,226.592657342657,10869,0.299107553592787
"4",2010,"文科",4,4,"上海","华东师范大学","华东师范大学",4,3076,21.11,0.103292181069959,1504645,2210.28412774259,61.5,680.747321629064,10869,0.28300671634925
"5",2010,"文科",5,5,"上海","上海外国语大学","上海外国语大学",8,706,2.94,0.0322633744855967,1504645,2210.28412774259,61.5,680.747321629064,10869,0.0649553776796393
"6",2010,"文科",46,46,"北京","中国地质大学(北京)","中国地质大学",4,5563,11.73,0.0415637860082304,1215300,1860,61.5,653.387096774194,10869,0.511822614775968
"7",2010,"文科",128,128,"江苏","南京邮电大学","南京邮电大学",3,9732,1.48,NA,3445730,7810.269,61.5,441.179426726531,10869,0.895390560309136
"8",2010,"文科",129,129,"江苏","南京信息工程大学","南京信息工程大学",8,10522,1.12,NA,3445730,7810.269,61.5,441.179426726531,10869,0.968074339865673
"9",2010,"文科",130,130,"江苏","南京农业大学","南京农业大学",10,9399,8.61,NA,3445730,7810.269,61.5,441.179426726531,10869,0.864752967154292
"10",2010,"文科",23,23,"北京","北京航空航天大学","北京航空航天大学",3,2976,22.14,0.104115226337449,1215300,1860,61.5,653.387096774194,10869,0.273806237924372
"11",2010,"文科",11,11,"上海","上海大学","上海大学",5,4252,7.78,0.0596707818930041,1504645,2210.28412774259,61.5,680.747321629064,10869,0.391204342625817
"12",2010,"文科",173,173,"湖南","中南大学","中南大学",22,6152,28.22,0.0691358024691358,1305969,6406,61.5,203.866531376834,10869,0.5660134326985
"13",2010,"文科",134,134,"江苏","苏州大学","苏州大学",6,5309,9.13,0.0335802469135802,3445730,7810.269,61.5,441.179426726531,10869,0.488453399576778
"14",2010,"文科",188,188,"贵州","贵州大学","贵州大学",6,10273,4.55,NA,391268,3537,61.5,110.621430590896,10869,0.945165148587727
"15",2010,"文科",15,15,"内蒙古","内蒙古大学","内蒙古大学",4,10869,5.56,NA,974025,2458.22,61.5,396.231826280805,10869,1
"16",2010,"文科",56,56,"北京","对外经济贸易大学","对外经济贸易大学",32,520,3.85,0.0502057613168724,1215300,1860,61.5,653.387096774194,10869,0.0478424878093661
"17",2010,"文科",17,17,"北京","北京外国语大学","北京外国语大学",8,222,3.77,0.0388065843621399,1215300,1860,61.5,653.387096774194,10869,0.0204250621032294
"18",2010,"文科",139,139,"江苏","江南大学","江南大学",21,9155,5.45,NA,3445730,7810.269,61.5,441.179426726531,10869,0.84230379979759
"19",2010,"文科",59,59,"北京","中国人民大学","中国人民大学",37,107,37.31,0.539094650205761,1215300,1860,61.5,653.387096774194,10869,0.00984451191461956
