"","Year","Province","University_Name_Location","University_Name","UniversityNo","Topic","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population"
"1","2010","上海","上海交通大学","上海交通大学","10248","理科","43","351","686","43.47","0.154732510288066","1504645","2210.28412774259",61.5
"2","2010","上海","复旦大学","复旦大学","10246","文科","15","89","656","55.83","0.452674897119342","1504645","2210.28412774259",61.5
"3","2010","上海","上海财经大学","上海财经大学","10272","文科","9","576","639","5.3","0.0781893004115226","1504645","2210.28412774259",61.5
"4","2010","上海","上海外国语大学","上海外国语大学","10271","文科","8","706","637","2.94","0.0322633744855967","1504645","2210.28412774259",61.5
"5","2010","上海","上海外国语大学","上海外国语大学","10271","理科","8","3524","663","2.94","0.0322633744855967","1504645","2210.28412774259",61.5
"6","2010","上海","华东理工大学","华东理工大学","10251","理科","36","14107","639","11.61","0.03","1504645","2210.28412774259",61.5
"7","2010","上海","华东师范大学","华东师范大学","10269","文科","4","3076","618","21.11","0.103292181069959","1504645","2210.28412774259",61.5
"8","2010","上海","东华大学","东华大学","10255","理科","38","21993","629","7.71","0.0440329218106996","1504645","2210.28412774259",61.5
"9","2010","上海","复旦大学","复旦大学","10246","理科","34","429","684","55.83","0.452674897119342","1504645","2210.28412774259",61.5
"10","2010","上海","同济大学","同济大学","10247","理科","80","2040","669","21.62","0.155144032921811","1504645","2210.28412774259",61.5
"11","2010","上海","上海大学","上海大学","10280","理科","25","17596","635","7.78","0.0596707818930041","1504645","2210.28412774259",61.5
"12","2010","上海","上海财经大学","上海财经大学","10272","理科","26","1633","672","5.3","0.0781893004115226","1504645","2210.28412774259",61.5
"13","2010","上海","上海大学","上海大学","10280","文科","5","4252","613","7.78","0.0596707818930041","1504645","2210.28412774259",61.5
"14","2010","上海","上海理工大学","上海理工大学","10252","理科","50","22132","629","1.71",NA,"1504645","2210.28412774259",61.5
"15","2010","内蒙古","内蒙古大学","内蒙古大学","10126","文科","4","10869","595","5.56",NA,"974025","2458.22",61.5
"16","2010","内蒙古","内蒙古大学","内蒙古大学","10126","理科","11","29550","621","5.56",NA,"974025","2458.22",61.5
"17","2010","北京","北京科技大学","北京科技大学","10008","理科","31","11773","643","14.25","0.0893004115226337","1215300","1860",61.5
"18","2010","北京","北京航空航天大学","北京航空航天大学","10006","文科","3","2976","619","22.14","0.104115226337449","1215300","1860",61.5
"19","2010","北京","北京外国语大学","北京外国语大学","10030","文科","8","222","648","3.77","0.0388065843621399","1215300","1860",61.5
"20","2010","北京","中国地质大学(北京)","中国地质大学","11415","理科","27","24446","626","11.73","0.0415637860082304","1215300","1860",61.5
"21","2010","北京","华北电力大学(北京)","华北电力大学","10054","理科","64","18548","633","4.46",NA,"1215300","1860",61.5
"22","2010","北京","北京邮电大学(宏福校区)","北京邮电大学","19013","理科","14","22977","628","8.38","0.101646090534979","1215300","1860",61.5
"23","2010","北京","北京大学","北京大学","10001","理科","16","118","694","100","1","1215300","1860",61.5
"24","2010","北京","北京体育大学","北京体育大学","10043","文科","7","9670","597","1.87","0.0617283950617284","1215300","1860",61.5
"25","2010","北京","北京第二外国语学院","北京第二外国语学院","10031","理科","12","14050","640",NA,NA,"1215300","1860",61.5
"26","2010","北京","北京邮电大学","北京邮电大学","10013","理科","88","11069","644","8.38","0.101646090534979","1215300","1860",61.5
"27","2010","北京","北京工业大学","北京工业大学","10005","理科","18","16402","636","7.95","0.0637860082304527","1215300","1860",61.5
"28","2010","北京","北京化工大学","北京化工大学","10010","文科","8","8587","600","7.18",NA,"1215300","1860",61.5
"29","2010","北京","中国石油大学(北京)","中国石油大学","11414","理科","15","19602","632","10.91","0.0366255144032922","1215300","1860",61.5
"30","2010","北京","北京大学医学部","北京大学","19001","理科","15","264","688","100","1","1215300","1860",61.5
"31","2010","北京","北京化工大学","北京化工大学","10010","理科","50","18667","633","7.18",NA,"1215300","1860",61.5
"32","2010","北京","北京交通大学","北京交通大学","10004","理科","71","20541","631","9.94","0.0406995884773663","1215300","1860",61.5
"33","2010","北京","北京理工大学","北京理工大学","10007","文科","4","2524","621","17.15","0.094238683127572","1215300","1860",61.5
"34","2010","北京","北京林业大学","北京林业大学","10022","理科","54","24073","627","7.21","0.0323456790123457","1215300","1860",61.5
"35","2010","北京","北京理工大学","北京理工大学","10007","理科","61","7447","652","17.15","0.094238683127572","1215300","1860",61.5
"36","2010","北京","中国政法大学","中国政法大学","10053","文科","48","777","636","6.2","0.193004115226337","1215300","1860",61.5
"37","2010","北京","中国农业大学","中国农业大学","10019","理科","50","18276","634","20.76","0.127572016460905","1215300","1860",61.5
"38","2010","北京","北京中医药大学","北京中医药大学","10026","理科","2","8611","649","3.89",NA,"1215300","1860",61.5
"39","2010","北京","中央民族大学","中央民族大学","10052","理科","9","27551","632","6.21","0.0489711934156379","1215300","1860",61.5
"40","2010","北京","中国矿业大学(北京)","中国矿业大学","11413","理科","6","26934","623","10.77",NA,"1215300","1860",61.5
"41","2010","北京","北京外国语大学","北京外国语大学","10030","理科","8","5656","656","3.77","0.0388065843621399","1215300","1860",61.5
"42","2010","北京","北京交通大学","北京交通大学","10004","文科","4","2080","624","9.94","0.0406995884773663","1215300","1860",61.5
"43","2010","北京","北京协和医学院","北京协和医学院","10023","理科","10","28667","621",NA,NA,"1215300","1860",61.5
"44","2010","北京","华北电力大学(北京)","华北电力大学","10054","文科","9","7081","604","4.46",NA,"1215300","1860",61.5
"45","2010","北京","中国传媒大学","中国传媒大学","10033","文科","9","1650","627","4.01","0.0893004115226337","1215300","1860",61.5
"46","2010","北京","中央财经大学","中央财经大学","10034","理科","53","2046","669","5.38","0.258024691358025","1215300","1860",61.5
"47","2010","北京","对外经济贸易大学","对外经济贸易大学","10036","理科","33","2513","667","3.85","0.0502057613168724","1215300","1860",61.5
"48","2010","北京","中国人民大学","中国人民大学","10002","理科","36","519","682","37.31","0.539094650205761","1215300","1860",61.5
"49","2010","北京","中国地质大学(北京)","中国地质大学","11415","文科","4","5563","608","11.73","0.0415637860082304","1215300","1860",61.5
"50","2010","北京","北京工业大学","北京工业大学","10005","文科","2","8369","600","7.95","0.0637860082304527","1215300","1860",61.5
"51","2010","北京","北京林业大学","北京林业大学","10022","文科","16","10704","595","7.21","0.0323456790123457","1215300","1860",61.5
"52","2010","北京","中国传媒大学","中国传媒大学","10033","理科","15","9736","647","4.01","0.0893004115226337","1215300","1860",61.5
"53","2010","北京","清华大学","清华大学","10003","理科","34","110","694","95.06","0.827160493827161","1215300","1860",61.5
"54","2010","北京","北京第二外国语学院","北京第二外国语学院","10031","文科","13","2453","621",NA,NA,"1215300","1860",61.5
"55","2010","北京","中国政法大学","中国政法大学","10053","理科","39","4748","659","6.2","0.193004115226337","1215300","1860",61.5
"56","2010","北京","北京航空航天大学","北京航空航天大学","10006","理科","47","1647","672","22.14","0.104115226337449","1215300","1860",61.5
"57","2010","北京","北京大学","北京大学","10001","文科","12","23","666","100","1","1215300","1860",61.5
"58","2010","北京","中央民族大学","中央民族大学","10052","文科","8","7567","610","6.21","0.0489711934156379","1215300","1860",61.5
"59","2010","北京","对外经济贸易大学","对外经济贸易大学","10036","文科","32","520","640","3.85","0.0502057613168724","1215300","1860",61.5
"60","2010","北京","中央财经大学","中央财经大学","10034","文科","17","567","639","5.38","0.258024691358025","1215300","1860",61.5
"61","2010","北京","中国人民大学","中国人民大学","10002","文科","37","107","655","37.31","0.539094650205761","1215300","1860",61.5
"62","2010","北京","清华大学","清华大学","10003","文科","2","14","668","95.06","0.827160493827161","1215300","1860",61.5
"63","2010","北京","北京语言大学","北京语言大学","10032","文科","15","1698","627","1.57","0.0269958847736626","1215300","1860",61.5
"64","2010","北京","北京体育大学","北京体育大学","10043","理科","15","29550","621","1.87","0.0617283950617284","1215300","1860",61.5
"65","2010","吉林","东北师范大学","东北师范大学","10200","理科","6","26157","624","10.93","0.03","727875","2739.55",61.5
"66","2010","吉林","延边大学","延边大学","10184","理科","6","29550","621","3.17",NA,"727875","2739.55",61.5
"67","2010","吉林","吉林大学","吉林大学","10183","文科","10","7931","601","37.23","0.0740740740740741","727875","2739.55",61.5
"68","2010","吉林","东北师范大学","东北师范大学","10200","文科","4","10464","595","10.93","0.03","727875","2739.55",61.5
"69","2010","吉林","吉林大学","吉林大学","10183","理科","90","19526","632","37.23","0.0740740740740741","727875","2739.55",61.5
"70","2010","吉林","延边大学","延边大学","10184","文科","4","10869","595","3.17",NA,"727875","2739.55",61.5
"71","2010","四川","四川农业大学","四川农业大学","10626","理科","20","29550","621","4.51",NA,"1415128","8185",61.5
"72","2010","四川","四川大学","四川大学","10610","文科","16","3955","614","34.18","0.121399176954733","1415128","8185",61.5
"73","2010","四川","电子科技大学","电子科技大学","10614","理科","120","15120","638","9.79","0.0382716049382716","1415128","8185",61.5
"74","2010","四川","西南交通大学","西南交通大学","10613","文科","4","8974","599","9.77","0.0267489711934156","1415128","8185",61.5
"75","2010","四川","西南财经大学","西南财经大学","10651","文科","25","4433","612","4.55","0.0806584362139918","1415128","8185",61.5
"76","2010","四川","四川大学","四川大学","10610","理科","93","14285","639","34.18","0.121399176954733","1415128","8185",61.5
"77","2010","四川","西南财经大学","西南财经大学","10651","理科","36","7402","652","4.55","0.0806584362139918","1415128","8185",61.5
"78","2010","四川","西南交通大学","西南交通大学","10613","理科","92","17479","635","9.77","0.0267489711934156","1415128","8185",61.5
"79","2010","天津","天津财经大学","天津财经大学","10070","理科","25","16829","636","1.22",NA,"752185","1228.16",61.5
"80","2010","天津","天津医科大学","天津医科大学","10062","理科","10","27798","622","3.49",NA,"752185","1228.16",61.5
"81","2010","天津","天津大学","天津大学","10056","理科","30","6611","654","22.65","0.0650205761316872","752185","1228.16",61.5
"82","2010","天津","南开大学","南开大学","10055","文科","10","656","638","30.09","0.160082304526749","752185","1228.16",61.5
"83","2010","天津","南开大学","南开大学","10055","理科","28","1753","671","30.09","0.160082304526749","752185","1228.16",61.5
"84","2010","天津","天津财经大学","天津财经大学","10070","文科","20","4224","613","1.22",NA,"752185","1228.16",61.5
"85","2010","安徽","合肥工业大学","合肥工业大学","10359","文科","6","10869","595","7.12",NA,"1006282","6131",61.5
"86","2010","安徽","中国科学技术大学","中国科学技术大学","10358","理科","32","718","680",NA,NA,"1006282","6131",61.5
"87","2010","安徽","安徽大学","安徽大学","10357","理科","10","22420","628","5.11",NA,"1006282","6131",61.5
"88","2010","安徽","安徽大学","安徽大学","10357","文科","10","10835","595","5.11",NA,"1006282","6131",61.5
"89","2010","安徽","合肥工业大学","合肥工业大学","10359","理科","108","23190","628","7.12",NA,"1006282","6131",61.5
"90","2010","山东","中国海洋大学","中国海洋大学","10423","理科","80","22046","629","11.65","0.0330864197530864","3389665","9470.3",61.5
"91","2010","山东","中国海洋大学","中国海洋大学","10423","文科","20","6618","605","11.65","0.0330864197530864","3389665","9470.3",61.5
"92","2010","山东","山东大学威海分校","山东大学","19422","理科","18","29187","621","28.98","0.0888888888888889","3389665","9470.3",61.5
"93","2010","山东","山东大学","山东大学","10422","文科","19","3093","618","28.98","0.0888888888888889","3389665","9470.3",61.5
"94","2010","山东","山东大学威海分校","山东大学","19422","文科","12","9909","597","28.98","0.0888888888888889","3389665","9470.3",61.5
"95","2010","山东","山东大学","山东大学","10422","理科","61","14519","639","28.98","0.0888888888888889","3389665","9470.3",61.5
"96","2010","山东","中国石油大学(华东)","中国石油大学","10425","理科","37","25753","625","10.91","0.0366255144032922","3389665","9470.3",61.5
"97","2010","山西","太原理工大学","太原理工大学","10112","理科","40","25698","625","6.2",NA,"735831","3427.36",61.5
"98","2010","广东","中山大学","中山大学","10558","理科","2810","11428","644","32.72","0.226748971193416","3948256","10130.1854628636",61.5
"99","2010","广东","华南理工大学","华南理工大学","10561","文科","203","6262","606","16.15","0.0736625514403292","3948256","10130.1854628636",61.5
"100","2010","广东","华南理工大学","华南理工大学","10561","理科","2981","10589","645","16.15","0.0736625514403292","3948256","10130.1854628636",61.5
"101","2010","广东","汕头大学（汕头大学医）","汕头大学","80001","理科","246","29092","621","1.81",NA,"3948256","10130.1854628636",61.5
"102","2010","广东","华南师范大学","华南师范大学","10574","理科","1946","22895","628","6.53","0.0477366255144033","3948256","10130.1854628636",61.5
"103","2010","广东","广东外语外贸大学","广东外语外贸大学","11846","文科","2024","6871","604","1.5",NA,"3948256","10130.1854628636",61.5
"104","2010","广东","广东外语外贸大学","广东外语外贸大学","11846","理科","1909","17940","634","1.5",NA,"3948256","10130.1854628636",61.5
"105","2010","广东","华南农业大学","华南农业大学","10564","文科","1608","10869","595","5.58","0.0346090534979424","3948256","10130.1854628636",61.5
