"","Year","Topic","University_Name_Location","Label","University_Name","UniversityNo","Province","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance","Score_Last_Year"
"1",2010,"文科","上海大学",373,"上海大学",10280,"上海",5,4252,613,7.78,0.0596707819,1504645,2210.2841277426,61.5,680.7473216291,10869,0.3912043426,"shanghaidaxue",1473,518
"2",2010,"文科","上海财经大学",483,"上海财经大学",10272,"上海",9,576,639,5.3,0.0781893004,1504645,2210.2841277426,61.5,680.7473216291,10869,0.0529947557,"shanghaicaijingdaxue",1473,544
"3",2010,"文科","东北师范大学",798,"东北师范大学",10200,"吉林",4,10464,595,10.93,0.03,727875,2739.55,61.5,265.6914456754,10869,0.9627380624,"dongbeishifandaxue",3052,519
"4",2010,"文科","东北林业大学",929,"东北林业大学",10225,"黑龙江",3,6129,606,5.46,0,858700,3826.01,61.5,224.4374687991,10869,0.5638973227,"dongbeilinyedaxue",3294,518
"5",2010,"文科","东北财经大学",1171,"东北财经大学",10173,"辽宁",20,4033,614,3.32,0,1521250,4341,61.5,350.4376871689,10869,0.3710552949,"dongbeicaijingdaxue",2246,542
"6",2010,"文科","中南大学",1331,"中南大学",10533,"湖南",22,6152,606,28.22,0.0691358025,1305969,6406,61.5,203.8665313768,10869,0.5660134327,"zhongnandaxue",662,525
"7",2010,"文科","中南财经政法大学",1443,"中南财经政法大学",10520,"湖北",100,3251,617,5.94,0.0448559671,1296110,5720,61.5,226.5926573427,10869,0.2991075536,"zhongnancaijingzhengfadaxue",979,526
"8",2010,"文科","中国人民大学",1633,"中国人民大学",10002,"北京",37,107,655,37.31,0.5390946502,1215300,1860,61.5,653.3870967742,10869,0.0098445119,"zhongguorenmindaxue",2124,582
"9",2010,"文科","中国传媒大学",1900,"中国传媒大学",10033,"北京",9,1650,627,4.01,0.0893004115,1215300,1860,61.5,653.3870967742,10869,0.151807894,"zhongguochuanmeidaxue",2140,550
"10",2010,"文科","中国地质大学(北京)",2266,"中国地质大学",11415,"北京",4,5563,608,11.73,0.041563786,1215300,1860,61.5,653.3870967742,10869,0.5118226148,"zhongguodizhidaxue",988,523
"11",2010,"文科","中国地质大学(武汉)",2225,"中国地质大学",10491,"湖北",12,8538,600,11.73,0.041563786,1296110,5720,61.5,226.5926573427,10869,0.7855368479,"zhongguodizhidaxue",988,523
"12",2010,"文科","中国政法大学",2388,"中国政法大学",10053,"北京",48,777,636,6.2,0.1930041152,1215300,1860,61.5,653.3870967742,10869,0.0714877174,"zhongguozhengfadaxue",2154,547
"13",2010,"文科","中国海洋大学",2492,"中国海洋大学",10423,"山东",20,6618,605,11.65,0.0330864198,3389665,9470.3,61.5,357.9258312831,10869,0.6088876622,"zhongguohaiyangdaxue",440,527
"14",2010,"文科","中央民族大学",3158,"中央民族大学",10052,"北京",8,7567,610,6.21,0.0489711934,1215300,1860,61.5,653.3870967742,10869,0.6962002024,"zhongyangminzudaxue",2122,532
"15",2010,"文科","中央财经大学",3362,"中央财经大学",10034,"北京",17,567,639,5.38,0.2580246914,1215300,1860,61.5,653.3870967742,10869,0.0521667127,"zhongyangcaijingdaxue",2152,560
"16",2010,"文科","中山大学",3394,"中山大学",10558,"广东",940,2697,620,32.72,0.2267489712,3948256,10130.1854628636,61.5,389.7516007455,10869,0.2481369031,"zhongshandaxue",119,543
"17",2010,"文科","兰州大学",3623,"兰州大学",10730,"甘肃",12,7274,603,14.36,0.049382716,338756,2554.91,61.5,132.5901890869,10869,0.6692428006,"lanzhoudaxue",2258,521
"18",2010,"文科","内蒙古大学",3761,"内蒙古大学",10126,"内蒙古",4,10869,595,5.56,0,974025,2458.22,61.5,396.2318262808,10869,1,"neimenggudaxue",2304,521
"19",2010,"文科","北京交通大学",3846,"北京交通大学",10004,"北京",4,2080,624,9.94,0.0406995885,1215300,1860,61.5,653.3870967742,10869,0.1913699512,"beijingjiaotongdaxue",2124,541
"20",2010,"文科","北京体育大学",4059,"北京体育大学",10043,"北京",7,9670,597,1.87,0.0617283951,1215300,1860,61.5,653.3870967742,10869,0.8896862637,"beijingtiyudaxue",2131,518
"21",2010,"文科","北京外国语大学",4343,"北京外国语大学",10030,"北京",8,222,648,3.77,0.0388065844,1215300,1860,61.5,653.3870967742,10869,0.0204250621,"beijingwaiguoyudaxue",2122,527
"22",2010,"文科","北京大学",4526,"北京大学",10001,"北京",12,23,666,100,1,1215300,1860,61.5,653.3870967742,10869,0.00211611,"beijingdaxue",2156,575
"23",2010,"文科","北京工业大学",4700,"北京工业大学",10005,"北京",2,8369,600,7.95,0.0637860082,1215300,1860,61.5,653.3870967742,10869,0.7699880394,"beijinggongyedaxue",2116,522
"24",2010,"文科","北京林业大学",4776,"北京林业大学",10022,"北京",16,10704,595,7.21,0.032345679,1215300,1860,61.5,653.3870967742,10869,0.9848192106,"beijinglinyedaxue",2135,521
"25",2010,"文科","北京理工大学",4995,"北京理工大学",10007,"北京",4,2524,621,17.15,0.0942386831,1215300,1860,61.5,653.3870967742,10869,0.2322200754,"beijingligongdaxue",2123,534
"26",2010,"文科","北京第二外国语学院",5146,"北京第二外国语学院",10031,"北京",13,2453,621,0,0,1215300,1860,61.5,653.3870967742,10869,0.2256877358,"beijingdierwaiguoyuxueyuan",2146,527
"27",2010,"文科","北京航空航天大学",5237,"北京航空航天大学",10006,"北京",3,2976,619,22.14,0.1041152263,1215300,1860,61.5,653.3870967742,10869,0.2738062379,"beijinghangkonghangtiandaxue",2129,530
"28",2010,"文科","北京语言大学",5371,"北京语言大学",10032,"北京",15,1698,627,1.57,0.0269958848,1215300,1860,61.5,653.3870967742,10869,0.1562241237,"beijingyuyandaxue",2129,546
"29",2010,"文科","华中农业大学",5679,"华中农业大学",10504,"湖北",12,10845,595,10.88,0.0330452675,1296110,5720,61.5,226.5926573427,10869,0.9977918852,"huazhongnongyedaxue",984,519
"30",2010,"文科","华中师范大学",5862,"华中师范大学",10511,"湖北",17,6534,605,11.77,0.0481481481,1296110,5720,61.5,226.5926573427,10869,0.6011592603,"huazhongshifandaxue",984,518
"31",2010,"文科","华中科技大学",6039,"华中科技大学",10487,"湖北",24,2902,619,33.15,0.0888888889,1296110,5720,61.5,226.5926573427,10869,0.2669978839,"huazhongkejidaxue",994,518
"32",2010,"文科","华侨大学",6167,"华侨大学",10385,"福建",44,10832,595,1.3,0.0388477366,1223653,3666,61.5,333.784233497,10869,0.996595823,"huaqiaodaxue",674,518
"33",2010,"文科","华北电力大学(保定)",6379,"华北电力大学",10079,"河北",4,10701,595,4.46,0,1723548,7034.4,61.5,245.0170590242,10869,0.9845431962,"huabeidianlidaxue",1986,518
"34",2010,"文科","华南农业大学",6570,"华南农业大学",10564,"广东",1608,10869,595,5.58,0.0346090535,3948256,10130.1854628636,61.5,389.7516007455,10869,1,"huanannongyedaxue",12.2,518
"35",2010,"文科","华南师范大学",6686,"华南师范大学",10574,"广东",1347,9417,598,6.53,0.0477366255,3948256,10130.1854628636,61.5,389.7516007455,10869,0.8664090533,"huananshifandaxue",36.5,522
