"","X","Year","Province","University_Name_Location","University_Name","Topic","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person"
"1",1,2010,"上海","复旦大学","复旦大学","文科",15,89,55.83,0.452674897119342,1504645,2210.28412774259,61.5,680.747321629064
"2",2,2010,"上海","上海财经大学","上海财经大学","文科",9,576,5.3,0.0781893004115226,1504645,2210.28412774259,61.5,680.747321629064
"3",3,2010,"上海","华东理工大学","华东理工大学","理科",36,14107,11.61,0.03,1504645,2210.28412774259,61.5,680.747321629064
"4",4,2010,"上海","华东师范大学","华东师范大学","文科",4,3076,21.11,0.103292181069959,1504645,2210.28412774259,61.5,680.747321629064
"5",5,2010,"上海","上海外国语大学","上海外国语大学","文科",8,706,2.94,0.0322633744855967,1504645,2210.28412774259,61.5,680.747321629064
"6",6,2010,"上海","上海交通大学","上海交通大学","理科",43,351,43.47,0.154732510288066,1504645,2210.28412774259,61.5,680.747321629064
"7",7,2010,"上海","同济大学","同济大学","理科",80,2040,21.62,0.155144032921811,1504645,2210.28412774259,61.5,680.747321629064
"8",8,2010,"上海","上海大学","上海大学","理科",25,17596,7.78,0.0596707818930041,1504645,2210.28412774259,61.5,680.747321629064
"9",9,2010,"上海","东华大学","东华大学","理科",38,21993,7.71,0.0440329218106996,1504645,2210.28412774259,61.5,680.747321629064
"10",10,2010,"上海","上海外国语大学","上海外国语大学","理科",8,3524,2.94,0.0322633744855967,1504645,2210.28412774259,61.5,680.747321629064
"11",11,2010,"上海","上海大学","上海大学","文科",5,4252,7.78,0.0596707818930041,1504645,2210.28412774259,61.5,680.747321629064
"12",12,2010,"上海","上海财经大学","上海财经大学","理科",26,1633,5.3,0.0781893004115226,1504645,2210.28412774259,61.5,680.747321629064
"13",13,2010,"上海","上海理工大学","上海理工大学","理科",50,22132,1.71,NA,1504645,2210.28412774259,61.5,680.747321629064
"14",14,2010,"上海","复旦大学","复旦大学","理科",34,429,55.83,0.452674897119342,1504645,2210.28412774259,61.5,680.747321629064
"15",15,2010,"内蒙古","内蒙古大学","内蒙古大学","文科",4,10869,5.56,NA,974025,2458.22,61.5,396.231826280805
"16",16,2010,"内蒙古","内蒙古大学","内蒙古大学","理科",11,29550,5.56,NA,974025,2458.22,61.5,396.231826280805
"17",17,2010,"北京","北京外国语大学","北京外国语大学","文科",8,222,3.77,0.0388065843621399,1215300,1860,61.5,653.387096774194
"18",18,2010,"北京","中国地质大学(北京)","中国地质大学","理科",27,24446,11.73,0.0415637860082304,1215300,1860,61.5,653.387096774194
"19",19,2010,"北京","华北电力大学(北京)","华北电力大学","理科",64,18548,4.46,NA,1215300,1860,61.5,653.387096774194
"20",20,2010,"北京","北京大学","北京大学","理科",16,118,100,1,1215300,1860,61.5,653.387096774194
"21",21,2010,"北京","北京体育大学","北京体育大学","文科",7,9670,1.87,0.0617283950617284,1215300,1860,61.5,653.387096774194
"22",22,2010,"北京","北京第二外国语学院","北京第二外国语学院","理科",12,14050,NA,NA,1215300,1860,61.5,653.387096774194
"23",23,2010,"北京","北京航空航天大学","北京航空航天大学","文科",3,2976,22.14,0.104115226337449,1215300,1860,61.5,653.387096774194
"24",24,2010,"北京","中央民族大学","中央民族大学","理科",9,27551,6.21,0.0489711934156379,1215300,1860,61.5,653.387096774194
"25",25,2010,"北京","北京化工大学","北京化工大学","文科",8,8587,7.18,NA,1215300,1860,61.5,653.387096774194
"26",26,2010,"北京","中国石油大学(北京)","中国石油大学","理科",15,19602,10.91,0.0366255144032922,1215300,1860,61.5,653.387096774194
"27",27,2010,"北京","北京邮电大学","北京邮电大学","理科",88,11069,8.38,0.101646090534979,1215300,1860,61.5,653.387096774194
"28",28,2010,"北京","北京化工大学","北京化工大学","理科",50,18667,7.18,NA,1215300,1860,61.5,653.387096774194
"29",29,2010,"北京","北京交通大学","北京交通大学","理科",71,20541,9.94,0.0406995884773663,1215300,1860,61.5,653.387096774194
"30",30,2010,"北京","北京理工大学","北京理工大学","文科",4,2524,17.15,0.094238683127572,1215300,1860,61.5,653.387096774194
"31",31,2010,"北京","北京林业大学","北京林业大学","理科",54,24073,7.21,0.0323456790123457,1215300,1860,61.5,653.387096774194
