"","University_Name","UniversityNo","Year","Topic","X","Province","University_Name_Location","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance"
"1","上海交通大学",19248,2012,"理科",477,"上海","上海交通大学医",8,1036,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,29207,0.0354709487451638,"shanghaijiaotongdaxue",1452
"2","上海交通大学",19248,2012,"理科",477,"上海","上海交通大学医",8,1036,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,29207,0.0354709487451638,"shanghaijiaotongdaxue",1452
"3","上海交通大学",19248,2012,"理科",477,"上海","上海交通大学医",8,1036,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,29207,0.0354709487451638,"shanghaijiaotongdaxue",1452
"4","上海交通大学",10248,2014,"理科",967,"上海","上海交通大学",25,192,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.00445413631513014,"shanghaijiaotongdaxue",1452
"5","上海交通大学",19248,2012,"理科",477,"上海","上海交通大学医",8,1036,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,29207,0.0354709487451638,"shanghaijiaotongdaxue",1452
"6","上海交通大学",10248,2014,"理科",967,"上海","上海交通大学",25,192,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.00445413631513014,"shanghaijiaotongdaxue",1452
"7","上海交通大学",10248,2014,"理科",967,"上海","上海交通大学",25,192,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.00445413631513014,"shanghaijiaotongdaxue",1452
"8","上海交通大学",19248,2011,"理科",238,"上海","上海交通大学医学",8,1717,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.0564951302974467,"shanghaijiaotongdaxue",1452
"9","上海交通大学",19248,2011,"理科",238,"上海","上海交通大学医学",8,1717,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.0564951302974467,"shanghaijiaotongdaxue",1452
"10","上海交通大学",19248,2011,"理科",238,"上海","上海交通大学医学",8,1717,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.0564951302974467,"shanghaijiaotongdaxue",1452
"11","上海交通大学",19248,2015,"理科",1265,"上海","上海交通大学医学",5,295,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,51000,0.0057843137254902,"shanghaijiaotongdaxue",1452
"12","上海交通大学",19248,2015,"理科",1265,"上海","上海交通大学医学",5,295,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,51000,0.0057843137254902,"shanghaijiaotongdaxue",1452
"13","上海交通大学",10248,2014,"理科",967,"上海","上海交通大学",25,192,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.00445413631513014,"shanghaijiaotongdaxue",1452
"14","上海交通大学",10248,2014,"理科",967,"上海","上海交通大学",25,192,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.00445413631513014,"shanghaijiaotongdaxue",1452
"15","上海交通大学",19248,2013,"理科",718,"上海","上海交通大学医学",8,479,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,40420,0.011850569025235,"shanghaijiaotongdaxue",1452
"16","上海交通大学",19248,2013,"理科",718,"上海","上海交通大学医学",8,479,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,40420,0.011850569025235,"shanghaijiaotongdaxue",1452
"17","上海交通大学",19248,2013,"理科",718,"上海","上海交通大学医学",8,479,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,40420,0.011850569025235,"shanghaijiaotongdaxue",1452
"18","上海交通大学",19248,2013,"理科",718,"上海","上海交通大学医学",8,479,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,40420,0.011850569025235,"shanghaijiaotongdaxue",1452
"19","上海交通大学",19248,2013,"理科",718,"上海","上海交通大学医学",8,479,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,40420,0.011850569025235,"shanghaijiaotongdaxue",1452
"20","上海交通大学",19248,2011,"理科",238,"上海","上海交通大学医学",8,1717,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.0564951302974467,"shanghaijiaotongdaxue",1452
"21","上海交通大学",19248,2011,"理科",238,"上海","上海交通大学医学",8,1717,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.0564951302974467,"shanghaijiaotongdaxue",1452
"22","上海交通大学",10248,2015,"文科",1248,"上海","上海交通大学",1,39,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,16964,0.00229898608818675,"shanghaijiaotongdaxue",1452
"23","上海交通大学",10248,2015,"文科",1248,"上海","上海交通大学",1,39,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,16964,0.00229898608818675,"shanghaijiaotongdaxue",1452
"24","上海交通大学",10248,2015,"文科",1248,"上海","上海交通大学",1,39,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,16964,0.00229898608818675,"shanghaijiaotongdaxue",1452
"25","上海交通大学",10248,2015,"文科",1248,"上海","上海交通大学",1,39,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,16964,0.00229898608818675,"shanghaijiaotongdaxue",1452
"26","上海交通大学",10248,2015,"文科",1248,"上海","上海交通大学",1,39,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,16964,0.00229898608818675,"shanghaijiaotongdaxue",1452
"27","上海交通大学",10248,2015,"文科",1248,"上海","上海交通大学",1,39,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,16964,0.00229898608818675,"shanghaijiaotongdaxue",1452
"28","上海交通大学",10248,2015,"文科",1248,"上海","上海交通大学",1,39,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,16964,0.00229898608818675,"shanghaijiaotongdaxue",1452
"29","上海交通大学",19248,2012,"理科",477,"上海","上海交通大学医",8,1036,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,29207,0.0354709487451638,"shanghaijiaotongdaxue",1452
"30","上海交通大学",19248,2014,"理科",977,"上海","上海交通大学医学",7,3727,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.0864612814921357,"shanghaijiaotongdaxue",1452
"31","上海交通大学",19248,2014,"理科",977,"上海","上海交通大学医学",7,3727,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.0864612814921357,"shanghaijiaotongdaxue",1452
"32","上海交通大学",19248,2014,"理科",977,"上海","上海交通大学医学",7,3727,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.0864612814921357,"shanghaijiaotongdaxue",1452
"33","上海交通大学",19248,2014,"理科",977,"上海","上海交通大学医学",7,3727,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.0864612814921357,"shanghaijiaotongdaxue",1452
"34","上海交通大学",19248,2014,"理科",977,"上海","上海交通大学医学",7,3727,79.72,0.266233766233766,2160212,2415.15,75.6,894.442167153179,43106,0.0864612814921357,"shanghaijiaotongdaxue",1452
"35","上海交通大学",19248,2015,"理科",1265,"上海","上海交通大学医学",5,295,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,51000,0.0057843137254902,"shanghaijiaotongdaxue",1452
"36","上海交通大学",19248,2015,"理科",1265,"上海","上海交通大学医学",5,295,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,51000,0.0057843137254902,"shanghaijiaotongdaxue",1452
"37","上海交通大学",19248,2015,"理科",1265,"上海","上海交通大学医学",5,295,81.08,0.27613104524181,2356094,2426,75.4,971.184666117065,51000,0.0057843137254902,"shanghaijiaotongdaxue",1452
"38","上海交通大学",10248,2011,"理科",239,"上海","上海交通大学",40,284,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.00934456435904185,"shanghaijiaotongdaxue",1452
"39","上海交通大学",10248,2011,"理科",239,"上海","上海交通大学",40,284,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.00934456435904185,"shanghaijiaotongdaxue",1452
"40","上海交通大学",10248,2011,"理科",239,"上海","上海交通大学",40,284,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.00934456435904185,"shanghaijiaotongdaxue",1452
"41","上海交通大学",10248,2011,"理科",239,"上海","上海交通大学",40,284,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.00934456435904185,"shanghaijiaotongdaxue",1452
"42","上海交通大学",10248,2011,"理科",239,"上海","上海交通大学",40,284,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.00934456435904185,"shanghaijiaotongdaxue",1452
"43","上海交通大学",10248,2011,"理科",239,"上海","上海交通大学",40,284,43.63,0.246558704453441,1716598,2302.66,65.5,745.484787159199,30392,0.00934456435904185,"shanghaijiaotongdaxue",1452
"44","上海交通大学",10248,2013,"文科",735,"上海","上海交通大学",1,45,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,12924,0.00348189415041783,"shanghaijiaotongdaxue",1452
"45","上海交通大学",10248,2013,"文科",735,"上海","上海交通大学",1,45,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,12924,0.00348189415041783,"shanghaijiaotongdaxue",1452
"46","上海交通大学",10248,2013,"文科",735,"上海","上海交通大学",1,45,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,12924,0.00348189415041783,"shanghaijiaotongdaxue",1452
"47","上海交通大学",10248,2013,"文科",735,"上海","上海交通大学",1,45,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,12924,0.00348189415041783,"shanghaijiaotongdaxue",1452
"48","上海交通大学",10248,2013,"文科",735,"上海","上海交通大学",1,45,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,12924,0.00348189415041783,"shanghaijiaotongdaxue",1452
"49","上海交通大学",10248,2013,"文科",735,"上海","上海交通大学",1,45,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,12924,0.00348189415041783,"shanghaijiaotongdaxue",1452
"50","上海交通大学",10248,2013,"文科",735,"上海","上海交通大学",1,45,47.62,0.165693430656934,2018172,2380.43,72.7,847.818251324341,12924,0.00348189415041783,"shanghaijiaotongdaxue",1452
