"","Year","University_Name_Location","Province","Topic","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"1",2010,"复旦大学","上海","文科",15,680.747321629064,10869,"E"
"2",2010,"上海财经大学","上海","文科",9,680.747321629064,10869,"G"
"3",2010,"中南财经政法大学","湖北","文科",100,226.592657342657,10869,"J"
"4",2010,"华东师范大学","上海","文科",4,680.747321629064,10869,"J"
"5",2010,"上海外国语大学","上海","文科",8,680.747321629064,10869,"H"
"6",2010,"中国地质大学(北京)","北京","文科",4,653.387096774194,10869,"K"
"7",2010,"南京邮电大学","江苏","文科",3,441.179426726531,10869,"K"
"8",2010,"南京信息工程大学","江苏","文科",8,441.179426726531,10869,"K"
"9",2010,"南京农业大学","江苏","文科",10,441.179426726531,10869,"K"
"10",2010,"北京航空航天大学","北京","文科",3,653.387096774194,10869,"J"
"11",2010,"上海大学","上海","文科",5,680.747321629064,10869,"J"
"12",2010,"中南大学","湖南","文科",22,203.866531376834,10869,"K"
"13",2010,"苏州大学","江苏","文科",6,441.179426726531,10869,"J"
"14",2010,"贵州大学","贵州","文科",6,110.621430590896,10869,"K"
"15",2010,"内蒙古大学","内蒙古","文科",4,396.231826280805,10869,"K"
"16",2010,"对外经济贸易大学","北京","文科",32,653.387096774194,10869,"G"
"17",2010,"北京外国语大学","北京","文科",8,653.387096774194,10869,"F"
"18",2010,"江南大学","江苏","文科",21,441.179426726531,10869,"K"
"19",2010,"中国人民大学","北京","文科",37,653.387096774194,10869,"E"
"20",2010,"清华大学","北京","文科",2,653.387096774194,10869,"B"
"21",2010,"北京体育大学","北京","文科",7,653.387096774194,10869,"K"
"22",2010,"南昌大学","江西","文科",20,172.719019206467,10869,"K"
"23",2010,"北京语言大学","北京","文科",15,653.387096774194,10869,"I"
"24",2010,"华北电力大学(保定)","河北","文科",4,245.017059024224,10869,"K"
"25",2010,"北京化工大学","北京","文科",8,653.387096774194,10869,"K"
"26",2010,"吉林大学","吉林","文科",10,265.691445675385,10869,"K"
"27",2010,"华中农业大学","湖北","文科",12,226.592657342657,10869,"K"
"28",2010,"石家庄铁道大学","黑龙江","文科",1,224.437468799088,10869,"K"
"29",2010,"石家庄铁道大学","河北","文科",1,245.017059024224,10869,"K"
"30",2010,"北京理工大学","北京","文科",4,653.387096774194,10869,"I"
"31",2010,"郑州大学","河南","文科",12,205.337380956145,10869,"K"
"32",2010,"浙江大学","浙江","文科",12,435.794711401763,10869,"F"
"33",2010,"中国政法大学","北京","文科",48,653.387096774194,10869,"H"
"34",2010,"西南财经大学","四川","文科",25,172.892852779475,10869,"J"
"35",2010,"海南大学","海南","文科",49,191.443980233083,10869,"K"
"36",2010,"武汉理工大学","湖北","文科",16,226.592657342657,10869,"K"
"37",2010,"西南交通大学","四川","文科",4,172.892852779475,10869,"K"
"38",2010,"辽宁大学","辽宁","文科",41,350.437687168855,10869,"K"
"39",2010,"东北财经大学","辽宁","文科",20,350.437687168855,10869,"J"
"40",2010,"湘潭大学","湖南","文科",27,203.866531376834,10869,"K"
"41",2010,"南开大学","天津","文科",10,612.448703751954,10869,"G"
"42",2010,"中国传媒大学","北京","文科",9,653.387096774194,10869,"I"
"43",2010,"天津财经大学","天津","文科",20,612.448703751954,10869,"J"
"44",2010,"华中科技大学","湖北","文科",24,226.592657342657,10869,"J"
"45",2010,"华北电力大学(北京)","北京","文科",9,653.387096774194,10869,"K"
"46",2010,"武汉大学","湖北","文科",30,226.592657342657,10869,"H"
"47",2010,"北京工业大学","北京","文科",2,653.387096774194,10869,"K"
"48",2010,"北京交通大学","北京","文科",4,653.387096774194,10869,"I"
"49",2010,"广东外语外贸大学","广东","文科",2024,389.751600745512,10869,"K"
"50",2010,"华侨大学","福建","文科",44,333.784233496999,10869,"K"
"51",2010,"北京第二外国语学院","北京","文科",13,653.387096774194,10869,"I"
"52",2010,"山东大学威海分校","山东","文科",12,357.925831283064,10869,"K"
"53",2010,"华南师范大学","广东","文科",1347,389.751600745512,10869,"K"
"54",2010,"广州中医药大学","广东","文科",576,389.751600745512,10869,"K"
"55",2010,"中央民族大学","北京","文科",8,653.387096774194,10869,"K"
"56",2010,"中国海洋大学","山东","文科",20,357.925831283064,10869,"K"
"57",2010,"北京林业大学","北京","文科",16,653.387096774194,10869,"K"
"58",2010,"北京大学","北京","文科",12,653.387096774194,10869,"C"
"59",2010,"西北工业大学","陕西","文科",4,219.205795546016,10869,"K"
"60",2010,"华南理工大学","广东","文科",203,389.751600745512,10869,"K"
"61",2010,"中央财经大学","北京","文科",17,653.387096774194,10869,"G"
"62",2010,"华中师范大学","湖北","文科",17,226.592657342657,10869,"K"
"63",2010,"兰州大学","甘肃","文科",12,132.590189086895,10869,"K"
"64",2010,"厦门大学","福建","文科",22,333.784233496999,10869,"I"
"65",2010,"延边大学","吉林","文科",4,265.691445675385,10869,"K"
"66",2010,"中山大学","广东","文科",940,389.751600745512,10869,"I"
"67",2010,"西南大学","重庆","文科",13,228.401888772298,10869,"K"
"68",2010,"中国矿业大学","江苏","文科",12,441.179426726531,10869,"K"
"69",2010,"东北师范大学","吉林","文科",4,265.691445675385,10869,"K"
"70",2010,"安徽大学","安徽","文科",10,164.130158212363,10869,"K"
"71",2010,"暨南大学","广东","文科",649,389.751600745512,10869,"J"
"72",2010,"四川大学","四川","文科",16,172.892852779475,10869,"J"
"73",2010,"大连海事大学","辽宁","文科",14,350.437687168855,10869,"K"
"74",2010,"山东大学","山东","文科",19,357.925831283064,10869,"J"
"75",2010,"中国地质大学(武汉)","湖北","文科",12,226.592657342657,10869,"K"
"76",2010,"西北农林科技大学","陕西","文科",6,219.205795546016,10869,"K"
"77",2010,"华南农业大学","广东","文科",1608,389.751600745512,10869,"K"
"78",2010,"河海大学","江苏","文科",11,441.179426726531,10869,"K"
