University_Name_Location,年份,最低,最高,平均,录取人数,录取批次,Topic
北京大学,2015,690,,,,第一批,理科
北京大学,2014,677,,679,,第一批,理科
北京大学,2014,,,673,,提前批,理科
北京大学,2013,661,688,674,20,第一批,理科
北京大学,2012,663,694,677,15,第一批,理科
北京大学,2011,646,674,660,12,第一批,理科
北京大学,2010,694,696,,20,第一批,理科
北京大学,2009,655,683,669,41,第一批,理科
北京大学,2009,659,660,659,2,提前批,理科
北京大学,2008,665,688,666,30,第一批,理科
北京大学,2015,654,,,,第一批,文科
北京大学,2014,660,,667,,第一批,文科
北京大学,2014,,,661,,提前批,文科
北京大学,2013,648,681,660,19,第一批,文科
北京大学,2012,644,675,662,14,第一批,文科
北京大学,2011,639,670,656,15,第一批,文科
北京大学,2010,666,678,,17,第一批,文科
北京大学,2009,575,629,603,27,第一批,文科
北京大学,2008,660,681,660,21,第一批,文科
中国人民大学,2015,672,,,,第一批,理科
中国人民大学,2014,659,,655,,第一批,理科
中国人民大学,2013,651,678,667,40,第一批,理科
中国人民大学,2012,642,677,664,36,第一批,理科
中国人民大学,2011,629,663,651,34,第一批,理科
中国人民大学,2010,673,693,686,36,第一批,理科
中国人民大学,2009,639,661,648,46,第一批,理科
中国人民大学,2009,549,608,582,4,提前批,理科
中国人民大学,2008,648,665,656,33,第一批,理科
中国人民大学,2015,643,,,,第一批,文科
中国人民大学,2015,639,,,,提前批,文科
中国人民大学,2014,646,,645,,第一批,文科
中国人民大学,2013,636,663,655,41,第一批,文科
中国人民大学,2012,629,661,651,38,第一批,文科
中国人民大学,2011,626,655,648,37,第一批,文科
中国人民大学,2010,638,665,656,37,第一批,文科
中国人民大学,2010,,659,654,5,不详,文科
中国人民大学,2009,582,599,589,41,第一批,文科
中国人民大学,2009,557,580,568,6,提前批,文科
中国人民大学,2008,643,661,651,37,第一批,文科
清华大学,2015,687,,,,第一批,理科
清华大学,2014,676,,683,,第一批,理科
清华大学,2013,661,710,679,64,第一批,理科
清华大学,2012,664,705,682,56,第一批,理科
清华大学,2011,646,680,667,43,第一批,理科
清华大学,2010,694,709,,53,第一批,理科
清华大学,2009,648,693,668,65,第一批,理科
清华大学,2009,649,666,655,10,提前批,理科
清华大学,2008,667,692,,56,第一批,理科
清华大学,2015,668,,,,第一批,文科
清华大学,2014,671,,676,,第一批,文科
清华大学,2013,657,677,671,6,第一批,文科
清华大学,2012,647,682,666,8,第一批,文科
清华大学,2011,608,657,635,3,第一批,文科
清华大学,2010,668,673,670,2,第一批,文科
清华大学,2009,579,606,593,10,第一批,文科
清华大学,2009,588,588,588,1,提前批,文科
清华大学,2008,665,,,4,第一批,文科
北京航空航天大学,2014,,,650,,第一批,理科
北京航空航天大学,2014,,,557,,提前批,理科
北京航空航天大学,2013,637,664,652,61,第一批,理科
北京航空航天大学,2012,633,671,653,58,第一批,理科
北京航空航天大学,2011,610,651,637,51,第一批,理科
北京航空航天大学,2010,672,686,675,61,第一批,理科
北京航空航天大学,2010,,647,607,55,不详,理科
北京航空航天大学,2009,621,655,635,107,第一批,理科
北京航空航天大学,2009,430,619,513,25,提前批,理科
北京航空航天大学,2008,628,653,639,46,第一批,理科
北京航空航天大学,2008,456,604,530,30,提前批,理科
北京航空航天大学,2015,644,650,,4,第一批,文科
北京航空航天大学,2014,,,568,,提前批,文科
北京航空航天大学,2013,627,631,629,3,第一批,文科
北京航空航天大学,2012,626,629,627,3,第一批,文科
北京航空航天大学,2011,617,621,619,3,第一批,文科
北京航空航天大学,2010,619,629,622,6,第一批,文科
北京航空航天大学,2010,,623,582,5,不详,文科
北京航空航天大学,2009,530,543,533,5,第一批,文科
北京航空航天大学,2008,523,577,547,5,提前批,文科
北京理工大学,2014,610,,617,,第一批,理科
北京理工大学,2013,599,644,622,74,第一批,理科
北京理工大学,2012,607,660,628,70,第一批,理科
北京理工大学,2011,585,632,611,67,第一批,理科
北京理工大学,2010,652,677,660,61,第一批,理科
北京理工大学,2009,593,628,600,115,第一批,理科
北京理工大学,2009,572,608,581,6,提前批,理科
北京理工大学,2008,602,633,614,54,第一批,理科
北京理工大学,2014,610,,614,,第一批,文科
北京理工大学,2013,595,626,614,8,第一批,文科
北京理工大学,2012,616,624,619,5,第一批,文科
北京理工大学,2011,606,614,610,5,第一批,文科
北京理工大学,2010,621,625,622,4,第一批,文科
北京理工大学,2009,534,555,540,9,第一批,文科
北京理工大学,2008,571,608,590,6,第一批,文科
中国农业大学,2014,594,642,604,,第一批,理科
中国农业大学,2013,596,644,609,50,第一批,理科
中国农业大学,2012,607,649,617,44,第一批,理科
中国农业大学,2011,586,632,596,47,第一批,理科
中国农业大学,2010,634,662,646,50,第一批,理科
中国农业大学,2009,563,608,573,99,第一批,理科
中国农业大学,2008,564,618,588,47,第一批,理科
中国农业大学,2014,,,596,,第一批,文科
中国农业大学,2013,604,610,608,6,第一批,文科
中国农业大学,2012,601,608,605,6,第一批,文科
中国农业大学,2011,573,600,588,5,第一批,文科
中国农业大学,2010,581,609,601,15,第一批,文科
北京师范大学,2010,670,681,675,6,第一批,文科
北京师范大学,2010,642,651,645,5,第一批,文科
中央民族大学,2015,609,,,,第一批,理科
