,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
0,10248,2015,1,670.0,2356094,2426.0,971.1846661171,25,81.08,0.2761310452,1452.0,192.0,282.0
1,19248,2013,1,656.0,2018172,2380.43,847.8182513242999,8,47.62,0.1656934307,1452.0,1036.0,1376.5
3,10248,2011,1,686.0,1716598,2302.66,745.4847871592,40,43.63,0.2465587045,1452.0,351.0,351.0
4,19248,2014,1,647.0,2160212,2415.15,894.4421671532001,7,79.72,0.2662337662,1452.0,479.0,1077.3333333333333
6,10248,2010,1,633.0,1504645,2210.2841277426,680.7473216291,43,43.47,0.1547325103,1452.0,0.0,0.0
7,10248,2010,1,608.0,1504645,2210.2841277426,680.7473216291,43,43.47,0.1547325103,1452.0,0.0,0.0
8,10248,2014,0,664.0,2160212,2415.15,894.4421671532001,1,79.72,0.2662337662,1452.0,45.0,162.66666666666666
9,10248,2013,0,638.0,2018172,2380.43,847.8182513242999,1,47.62,0.1656934307,1452.0,403.0,221.5
10,10248,2014,1,653.0,2160212,2415.15,894.4421671532001,25,79.72,0.2662337662,1452.0,274.0,304.5
11,10248,2013,1,652.0,2018172,2380.43,847.8182513242999,43,47.62,0.1656934307,1452.0,309.0,314.6666666666667
12,10248,2012,0,654.0,1919569,2347.46,817.7217077181,1,42.52,0.1655589124,1452.0,40.0,40.0
13,10248,2015,0,654.0,2356094,2426.0,971.1846661171,1,81.08,0.2761310452,1452.0,78.0,141.5
14,10248,2012,1,634.0,1919569,2347.46,817.7217077181,40,42.52,0.1655589124,1452.0,284.0,317.5
15,10271,2010,1,584.0,1504645,2210.2841277426,680.7473216291,8,2.94,0.032263374500000004,1466.0,0.0,0.0
16,10271,2013,0,625.0,2018172,2380.43,847.8182513242999,4,2.53,0.027980535299999998,1466.0,1116.0,846.3333333333334
17,10271,2011,1,663.0,1716598,2302.66,745.4847871592,9,2.8,0.0293927126,1466.0,3524.0,3524.0
18,10271,2014,1,630.0,2160212,2415.15,894.4421671532001,16,61.04,0.0,1466.0,4868.0,4830.0
19,10271,2012,0,626.0,1919569,2347.46,817.7217077181,5,2.86,0.0283987915,1466.0,717.0,711.5
20,10271,2012,1,597.0,1919569,2347.46,817.7217077181,10,2.86,0.0283987915,1466.0,5560.0,4542.0
21,10271,2010,0,523.0,1504645,2210.2841277426,680.7473216291,8,2.94,0.032263374500000004,1466.0,0.0,0.0
22,10271,2015,1,562.0,2356094,2426.0,971.1846661171,10,62.44,0.0,1466.0,40538.0,11971.6
23,10271,2015,0,626.0,2356094,2426.0,971.1846661171,6,62.44,0.0,1466.0,1075.0,1327.0
24,10271,2013,1,630.0,2018172,2380.43,847.8182513242999,8,2.53,0.027980535299999998,1466.0,5368.0,4817.333333333333
25,10271,2011,0,637.0,1716598,2302.66,745.4847871592,9,2.8,0.0293927126,1466.0,706.0,706.0
26,10271,2014,0,618.0,2160212,2415.15,894.4421671532001,8,61.04,0.0,1466.0,3021.0,1390.0
27,10280,2012,1,579.0,1919569,2347.46,817.7217077181,22,8.16,0.0719033233,1473.0,13602.0,15599.0
28,10280,2012,1,416.0,1919569,2347.46,817.7217077181,22,8.16,0.0719033233,1473.0,13602.0,15599.0
29,10280,2010,1,544.0,1504645,2210.2841277426,680.7473216291,25,7.78,0.059670781900000004,1473.0,0.0,0.0
30,10280,2014,1,580.0,2160212,2415.15,894.4421671532001,23,63.49,0.0761363636,1473.0,17408.0,16375.25
31,10280,2014,0,615.0,2160212,2415.15,894.4421671532001,2,63.49,0.0761363636,1473.0,3664.0,4152.75
32,10280,2011,0,613.0,1716598,2302.66,745.4847871592,3,8.18,0.0615384615,1473.0,4252.0,4252.0
33,10280,2011,1,635.0,1716598,2302.66,745.4847871592,27,8.18,0.0615384615,1473.0,17596.0,17596.0
34,10280,2012,0,607.0,1919569,2347.46,817.7217077181,3,8.16,0.0719033233,1473.0,2801.0,3526.5
35,10280,2012,0,465.0,1919569,2347.46,817.7217077181,3,8.16,0.0719033233,1473.0,2801.0,3526.5
36,10280,2013,0,600.0,2018172,2380.43,847.8182513242999,3,9.21,0.0703163017,1473.0,5894.0,4315.666666666667
37,10280,2013,0,485.0,2018172,2380.43,847.8182513242999,3,9.21,0.0703163017,1473.0,5894.0,4315.666666666667
38,10280,2013,1,587.0,2018172,2380.43,847.8182513242999,40,9.21,0.0703163017,1473.0,16895.0,16031.0
39,10280,2013,1,482.0,2018172,2380.43,847.8182513242999,40,9.21,0.0703163017,1473.0,16895.0,16031.0
40,10280,2010,0,518.0,1504645,2210.2841277426,680.7473216291,5,7.78,0.059670781900000004,1473.0,0.0,0.0
41,10280,2015,1,591.0,2356094,2426.0,971.1846661171,10,64.03,0.0673946958,1473.0,18425.0,16785.2
43,10254,2015,1,,2356094,2426.0,971.1846661171,127,61.8,0.0,1474.0,43106.0,43106.0
44,10254,2015,0,,2356094,2426.0,971.1846661171,34,61.8,0.0,1474.0,14000.0,14000.0
46,10252,2011,1,629.0,1716598,2302.66,745.4847871592,55,1.85,0.0,1484.0,22132.0,22132.0
47,10252,2014,1,575.0,2160212,2415.15,894.4421671532001,59,61.15,0.0,1484.0,27201.0,22085.25
