,Unnamed: 0,Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label.1,Lowest,Highest,ave,Plan,NO
0,0,2,10248,上海交通大学,1452.0,上海,2356094,2426.0,971.1846661171,2015,81.08,0.2761310452,理科,25,2,670.0,676.0,668.0,,第一批
1,1,3,19248,上海交通大学医学,1452.0,上海,2018172,2380.43,847.8182513242999,2013,47.62,0.1656934307,理科,8,3,656.0,675.0,663.0,8.0,第一批
2,2,7,19248,上海交通大学医学,1452.0,上海,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,理科,8,7,630.0,662.0,650.0,13.0,第一批
3,3,1,10248,上海交通大学,1452.0,上海,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,理科,40,1,686.0,713.0,693.0,47.0,第一批
4,4,12,19248,上海交通大学医学,1452.0,上海,2160212,2415.15,894.4421671532001,2014,79.72,0.2662337662,理科,7,12,647.0,678.0,668.0,8.0,第一批
5,5,2,10248,上海交通大学,1452.0,上海,1716598,2302.66,745.4847871592,2011,43.63,0.2465587045,文科,1,2,622.0,653.0,639.0,5.0,第一批
6,6,2,10248,上海交通大学,1452.0,上海,1504645,2210.2841277426,680.7473216291,2010,43.47,0.1547325103,理科,43,2,633.0,660.0,650.0,96.0,第一批
7,7,2,10248,上海交通大学,1452.0,上海,1504645,2210.2841277426,680.7473216291,2010,43.47,0.1547325103,理科,43,2,608.0,636.0,627.0,7.0,提前批
8,8,2,10248,上海交通大学,1452.0,上海,2160212,2415.15,894.4421671532001,2014,79.72,0.2662337662,文科,1,2,664.0,664.0,664.0,1.0,第一批
9,9,2,10248,上海交通大学,1452.0,上海,2018172,2380.43,847.8182513242999,2013,47.62,0.1656934307,文科,1,2,638.0,638.0,638.0,1.0,第一批
10,10,1,10248,上海交通大学,1452.0,上海,2160212,2415.15,894.4421671532001,2014,79.72,0.2662337662,理科,25,1,653.0,680.0,672.0,46.0,第一批
11,11,2,10248,上海交通大学,1452.0,上海,2018172,2380.43,847.8182513242999,2013,47.62,0.1656934307,理科,43,2,652.0,682.0,671.0,59.0,第一批
12,12,5,10248,上海交通大学,1452.0,上海,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,文科,1,5,654.0,654.0,654.0,1.0,第一批
13,13,1,10248,上海交通大学,1452.0,上海,2356094,2426.0,971.1846661171,2015,81.08,0.2761310452,文科,1,1,654.0,655.0,654.0,,第一批
14,14,1,10248,上海交通大学,1452.0,上海,1919569,2347.46,817.7217077181,2012,42.52,0.1655589124,理科,40,1,634.0,665.0,652.0,47.0,第一批
15,15,10,10271,上海外国语大学,1466.0,上海,1504645,2210.2841277426,680.7473216291,2010,2.94,0.032263374500000004,理科,8,10,584.0,613.0,592.0,9.0,第一批
16,16,12,10271,上海外国语大学,1466.0,上海,2018172,2380.43,847.8182513242999,2013,2.53,0.0279805353,文科,4,12,625.0,641.0,634.0,5.0,第一批
17,17,12,10271,上海外国语大学,1466.0,上海,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,理科,9,12,663.0,679.0,668.0,9.0,第一批
18,18,30,10271,上海外国语大学,1466.0,上海,2160212,2415.15,894.4421671532001,2014,61.04,0.0,理科,16,30,630.0,640.0,635.0,8.0,第一批
19,19,9,10271,上海外国语大学,1466.0,上海,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,文科,5,9,626.0,636.0,631.0,9.0,第一批
20,20,11,10271,上海外国语大学,1466.0,上海,1919569,2347.46,817.7217077181,2012,2.86,0.0283987915,理科,10,11,597.0,632.0,618.0,9.0,第一批
21,21,6,10271,上海外国语大学,1466.0,上海,1504645,2210.2841277426,680.7473216291,2010,2.94,0.032263374500000004,文科,8,6,523.0,577.0,551.0,8.0,第一批
22,22,16,10271,上海外国语大学,1466.0,上海,2356094,2426.0,971.1846661171,2015,62.44,0.0,理科,10,16,562.0,,611.0,,第一批
23,23,11,10271,上海外国语大学,1466.0,上海,2356094,2426.0,971.1846661171,2015,62.44,0.0,文科,6,11,626.0,,631.0,,第一批
24,24,10,10271,上海外国语大学,1466.0,上海,2018172,2380.43,847.8182513242999,2013,2.53,0.0279805353,理科,8,10,630.0,646.0,637.0,10.0,第一批
25,25,8,10271,上海外国语大学,1466.0,上海,1716598,2302.66,745.4847871592,2011,2.8,0.0293927126,文科,9,8,637.0,648.0,641.0,9.0,第一批
26,26,8,10271,上海外国语大学,1466.0,上海,2160212,2415.15,894.4421671532001,2014,61.04,0.0,文科,8,8,618.0,640.0,628.0,4.0,第一批
